漢字,異体字
尓,尒
尓,尔
陥,陷
抬,擡
野,埜
野,𡌛
野,壄
野,㙒
檪,櫟
檪,栎
春,萅
春,旾
彦,彥
雇,僱
㔟,勢
㔟,势
揷,挿
揷,插
暦,曆
隷,隸
嬌,娇
巵,卮
栾,欒
嶽,岳
艪,艣
浹,浃
溪,渓
粘,黏
續,続
襤,繿
捙,拽
羮,羹
㫖,旨
㫖,𠤔
譲,讓
樺,桦
頬,頰
竒,奇
營,営
㕝,事
㕝,亊
㕝,叓
職,聀
職,軄
懐,懷
夐,敻
夐,𢿌
殂,𣧫
秌,秋
秌,穐
秌,龝
侠,俠
丈,𠀋
狸,貍
筐,筺
覩,睹
黑,黒
珡,琴
珡,琹
形,𢒈
奩,匳
奩,匲
奩,奁
亜,亞
亜,亚
朙,明
嗚,呜
雷,靁
去,厺
諐,愆
裹,褁
塀,塀
壞,壊
簒,篡
﨟,臈
黎,𪏯
醬,醤
塤,壎
塤,埙
儘,侭
觿,觽
法,灋
法,㳒
法,佱
衞,衛
衞,卫
繩,縄
專,専
專,专
渕,淵
渕,渊
渕,囦
椢,槶
攜,携
攜,擕
攜,㩗
攜,𢹂
沱,沲
沱,𣵺
憑,慿
禎,禎
綠,緑
櫻,桜
櫻,樱
津,𣸁
横,橫
乃,𠄎
𥹥,糖
𥹥,糛
燓,焚
漕,𤅍
𥈞,瞞
靱,靭
槳,㯍
槳,桨
鄖,䢵
恒,恆
従,從
従,从
煑,煮
煑,煮
貳,弐
貳,貮
刈,苅
刈,𠛄
嶌,島
嶌,嶋
嶌,㠀
嶌,嶹
嶌,岛
練,練
娯,娛
娯,娱
殱,殲
価,價
質,貭
裡,裏
寱,䆿
攬,揽
榴,橊
勁,劲
潔,㓗
恚,㤬
甼,町
萕,薺
劍,剣
劍,釼
劍,劔
劍,劒
劍,剱
劍,𠝏
劍,剑
槧,椠
円,圓
円,圎
円,圆
久,镹
久,乆
凮,風
凮,凬
凮,飌
凮,凨
朶,䒳
朶,朵
剥,剝
皨,星
皨,曐
呍,吽
餘,余
畳,疊
畳,疉
畳,疂
畳,㬪
畳,曡
畳,叠
釬,銲
験,驗
験,騐
彫,彫
讕,譋
籐,籘
儚,𠐧
篦,箆
鰛,鰮
虱,蝨
奇,竒
捫,扪
陋,𨹟
𧏾,䘌
覰,覷
覰,覻
覰,𧠢
迩,邇
憶,忆
𠮟,叱
柹,柿
柹,枾
擬,拟
証,證
欄,欄
欄,栏
芒,𥝕
讚,讃
億,亿
皞,皡
皞,皥
虁,夔
虁,𡖂
雄,䧺
娟,姢
嗅,齅
晚,晩
晚,𣆶
桺,柳
桺,栁
桺,桞
桺,橮
略,畧
肴,餚
鏝,𨭜
鏤,𨩐
祷,禱
貌,皃
貌,㒵
貌,䫉
稾,稿
檮,梼
韲,齏
韲,虀
韲,䪡
芸,藝
燒,焼
癰,癕
靎,靍
靎,靏
買,买
壷,壺
壷,壶
壷,壸
瓣,弁
担,擔
晳,晰
蝼,螻
囓,齧
囓,𪘂
迪,廸
告,吿
冐,冒
甞,嘗
甞,𠹉
甞,尝
魲,鱸
肱,厷
肱,𠫔
肱,𠬟
肱,𠃋
尻,㞍
斉,齊
斉,亝
斉,斊
壍,塹
壍,𡐛
壍,堑
牽,撁
窮,竆
贊,賛
經,経
匝,帀
敏,敏
敏,勄
揮,挥
囈,呓
雞,鶏
雞,鷄
雞,𨿸
糾,糺
卽,即
抅,拘
菑,葘
猫,貓
瑰,瓌
萼,蕚
躳,躬
幇,帮
幇,幫
幇,幚
呕,嘔
鹼,鹸
狻,䝜
險,険
梨,棃
梨,梸
膂,膐
嗜,呩
馘,聝
双,雙
脈,脉
脈,衇
却,卻
却,㕁
嘩,哗
卸,缷
賤,賎
勻,匀
郶,部
迤,迆
赬,頳
赬,䞓
誉,譽
倂,併
楡,榆
酔,醉
窻,窓
窻,窗
窻,牕
窻,䆫
礮,砲
竈,竃
竈,𥧄
竈,䆴
竈,灶
冒,冐
妍,姸
懷,懐
燄,焰
燄,焔
燄,熖
燄,㷔
暑,暑
摠,総
摠,總
摠,揔
摠,緫
摠,总
摠,捴
摠,搃
辞,辭
辞,辤
辞,辝
薛,𧃎
咩,哶
㷀,煢
㷀,焭
坳,垇
侮,侮
廬,庐
癒,瘉
斑,辬
盍,盇
盍,𥁋
學,学
學,斈
餉,𩜋
贈,贈
実,實
実,实
松,枩
松,柗
松,梥
松,㮤
松,枀
舗,鋪
舗,舖
触,觸
倆,𠈓
倆,俩
猨,猿
廩,廪
輶,輏
展,㞡
夔,虁
夔,𡖂
檣,樯
抜,拔
抜,㧞
賣,売
賣,卖
豊,豐
踐,践
翆,翠
殻,殼
殻,壳
屓,屭
艮,𥃩
柿,柹
柿,枾
蠏,蟹
貴,䝿
栐,柡
献,獻
厲,厉
嗇,啬
鐫,鎸
苺,莓
蘆,芦
㝬,簠
㝬,盙
仮,假
嫺,嫻
嫺,𡢃
嫺,娴
譛,譖
鐓,鐜
總,総
總,摠
總,揔
總,緫
總,总
總,捴
總,搃
舐,䑛
舐,舓
稲,稻
堆,垖
壤,壌
塊,块
筆,笔
𢭏,擣
𢭏,捯
涛,濤
蟒,蠎
館,舘
館,館
蛾,䖸
絚,緪
矚,瞩
化,𠤎
昞,昺
寳,宝
寳,寶
寳,寚
廹,迫
廳,庁
廳,廰
廳,厅
廳,厛
枦,櫨
枦,栌
昺,昞
禰,祢
較,䡈
儔,俦
儔,𠍻
緖,緒
旨,㫖
旨,𠤔
鬮,䰗
鬮,䦰
粳,秔
粳,稉
纃,緕
寖,浸
寖,濅
寖,𣹦
溌,潑
疂,畳
疂,疊
疂,疉
疂,㬪
疂,曡
疂,叠
咄,嚉
僂,偻
椁,槨
是,昰
懣,𢡛
懣,懑
糸,絲
糸,丝
卯,夘
卯,戼
莅,蒞
幀,帧
斎,齋
斎,斋
斎,夈
犮,叐
謭,譾
𦣝,𦣞
垜,垛
纓,䋝
嘆,嘆
遲,遅
遲,遟
滔,㴞
侚,伨
社,社
豐,豊
杏,莕
裴,裵
竸,競
竸,竞
玅,妙
髮,髪
彑,彐
屩,屫
悳,徳
悳,𢛳
悳,恴
悳,惪
悳,㥁
堰,隁
塔,墖
㮍,椾
駈,駆
駈,驅
裵,裴
憖,憗
憖,慭
冤,寃
趁,趂
彲,彨
昂,昻
墩,墪
侖,仑
榘,矩
崦,嶖
粛,肅
琺,珐
村,邨
麕,麇
曼,㬅
顖,囟
嘎,嘠
躊,踌
鯘,鮾
䡄,軌
沖,冲
刹,剎
髩,鬢
髩,鬂
栗,㮚
藏,蔵
偽,僞
偽,伪
玨,珏
乕,虎
膸,髄
膸,髓
儺,傩
祿,禄
集,𠍱
集,雧
劑,剤
劑,剂
麹,麴
麹,麯
騒,騷
咿,吚
效,効
柰,奈
柰,㮈
凱,凯
堅,坚
揺,搖
揺,摇
揺,㨱
驒,騨
颻,䬙
縣,県
縣,县
𡋗,𡑭
桑,桒
鏘,𨪙
妊,姙
妊,𡜟
殺,殺
懴,懺
嶧,𡵸
畺,疆
畺,壃
畺,疅
奈,柰
奈,㮈
嬪,娦
嬪,嫔
別,𠛰
別,别
啣,銜
啣,㘅
啣,衘
厠,廁
厠,厕
濁,浊
鵝,鵞
鬭,闘
鬭,鬪
餝,飾
艫,舮
西,卥
㰏,篙
菟,莵
𣵀,涅
椏,桠
箪,簞
両,兩
両,㒳
両,两
燻,熏
醗,醱
既,既
既,旣
瓯,甌
箚,劄
眼,𥆢
罡,𦊆
諡,謚
澂,澄
澂,瀓
糖,𥹥
糖,糛
𥫣,籅
𢮦,撿
𢮦,捡
囟,顖
杤,栃
酣,佄
畒,畝
畒,畆
畒,㽗
畒,畞
畒,畮
畒,亩
斷,断
斷,𣃔
梔,栀
掻,搔
驛,駅
孳,孶
貎,猊
険,險
𥆩,睨
蕣,橓
仞,仭
膓,腸
慘,惨
龐,厐
龐,庞
竜,龍
屁,𥧔
塢,坞
坼,𡍩
覇,霸
殼,殻
殼,壳
擥,㩜
賓,賓
賓,賔
賓,宾
検,檢
検,检
隱,隠
慚,慙
慚,惭
擾,𢺕
蠹,蠧
蠹,螙
寇,冦
寇,𡨥
寇,宼
寇,㓂
惻,恻
冭,泰
