漢字,音訓,読み方,表内読み
韭,訓,にら,,表内読み
韭,音,キュウ,,表内読み
从,訓,したが,う,表内読み
从,訓,したが,える,表内読み
从,訓,したが,って,表内読み
从,訓,よ,り,表内読み
从,音,ジュウ,,表内読み
从,音,ショウ,,表内読み
从,音,ジュ,,表内読み
剃,訓,そ,る,表内読み
剃,音,テイ,,表内読み
栳,音,ロウ,,表内読み
紞,音,タン,,表内読み
扡,音,タ,,表内読み
扡,音,チ,,表内読み
盛,訓,も,る,表内読み
盛,訓,さか,る,表内読み
盛,訓,さか,ん,表内読み
盛,訓,さか,る,表外読み
盛,訓,さか,り,表外読み
盛,音,セイ,,表内読み
盛,音,ジョウ,,表内読み
釥,音,ショウ,,表内読み
蘗,訓,きはだ,,表内読み
蘗,訓,きわだ,,表内読み
蘗,音,バク,,表内読み
蘗,音,ハク,,表内読み
到,訓,いた,る,表外読み
到,音,トウ,,表内読み
鞘,訓,さや,,表内読み
鞘,音,ソウ,,表内読み
鞘,音,ショウ,,表内読み
惋,訓,うら,む,表内読み
惋,音,ワン,,表内読み
錆,訓,さび,,表内読み
錆,訓,さ,びる,表内読み
錆,音,セイ,,表内読み
錆,音,ショウ,,表内読み
塉,音,セキ,,表内読み
諴,音,カン,,表内読み
镸,訓,なが,い,表内読み
镸,訓,おさ,,表内読み
镸,訓,た,ける,表内読み
镸,音,チョウ,,表内読み
镸,音,ジョウ,,表内読み
肥,訓,こ,える,表内読み
肥,訓,こえ,,表内読み
肥,訓,こ,やす,表内読み
肥,訓,こ,やし,表内読み
肥,訓,ふと,る,表外読み
肥,音,ヒ,,表内読み
𣜌,訓,くろべ,,表内読み
亝,訓,ととの,える,表内読み
亝,訓,ととの,う,表内読み
亝,訓,ひと,しい,表内読み
亝,訓,ひと,しく,表内読み
亝,音,セイ,,表内読み
亝,音,サイ,,表内読み
亝,音,シ,,表内読み
顔,訓,かお,,表内読み
顔,訓,かんばせ,,表外読み
顔,音,ガン,,表内読み
毒,訓,そこ,なう,表外読み
毒,訓,わる,い,表外読み
毒,音,ドク,,表内読み
囍,訓,－,,表内読み
囍,音,－,,表内読み
岼,訓,ゆり,,表内読み
褄,訓,つま,,表内読み
忝,訓,はずかし,める,表内読み
忝,訓,かたじけな,い,表内読み
忝,音,テン,,表内読み
柮,音,トツ,,表内読み
勘,訓,かんが,える,表外読み
勘,音,カン,,表内読み
盪,訓,あら,う,表内読み
盪,訓,うご,く,表内読み
盪,訓,うご,かす,表内読み
盪,訓,とろ,ける,表内読み
盪,音,トウ,,表内読み
蒗,音,ロウ,,表内読み
衘,訓,くつわ,,表内読み
衘,訓,ふく,む,表内読み
衘,訓,くわ,える,表内読み
衘,訓,くらい,,表内読み
衘,音,カン,,表内読み
衘,音,ガン,,表内読み
咈,音,フツ,,表内読み
抗,訓,あ,げる,表外読み
抗,訓,あ,たる,表外読み
抗,訓,あらが,う,表外読み
抗,訓,はりあ,う,表外読み
抗,訓,ふせ,ぐ,表外読み
抗,訓,こば,む,表外読み
抗,音,コウ,,表内読み
滞,訓,とどこお,る,表内読み
滞,音,タイ,,表内読み
螂,音,ロウ,,表内読み
仭,訓,ひろ,,表内読み
仭,訓,はか,る,表内読み
仭,音,ジン,,表内読み
鑫,音,キン,,表内読み
鑫,音,コン,,表内読み
警,訓,いまし,める,表外読み
警,音,ケイ,,表内読み
警,音,キョウ,,表外読み
恂,訓,まこと,,表内読み
恂,訓,おそ,れる,表内読み
恂,訓,またた,く,表内読み
恂,音,ジュン,,表内読み
恂,音,シュン,,表内読み
梓,訓,あずさ,,表内読み
梓,訓,はんぎ,,表内読み
梓,音,シ,,表内読み
鑚,訓,きり,,表内読み
鑚,訓,き,る,表内読み
鑚,訓,のみ,,表内読み
鑚,訓,たがね,,表内読み
鑚,訓,うが,つ,表内読み
鑚,音,サン,,表内読み
粔,音,キョ,,表内読み
砺,訓,あらと,,表内読み
砺,訓,みが,く,表内読み
砺,訓,と,ぐ,表内読み
砺,音,レイ,,表内読み
煩,訓,わずら,う,表内読み
煩,訓,わずら,わす,表内読み
煩,訓,わずら,わしい,表外読み
煩,訓,うるさ,い,表外読み
煩,音,ハン,,表内読み
煩,音,ボン,,表内読み
阬,訓,あな,,表内読み
阬,訓,あな,にする,表内読み
阬,音,コウ,,表内読み
阬,音,キョウ,,表内読み
微,訓,かす,か,表外読み
微,音,ビ,,表内読み
微,音,ミ,,表外読み
鰥,訓,やもお,,表内読み
鰥,訓,やもめ,,表内読み
鰥,訓,や,む,表内読み
鰥,音,カン,,表内読み
𥽜,訓,はぜ,,表内読み
夢,訓,ゆめ,,表内読み
夢,音,ム,,表内読み
夢,音,ボウ,,表外読み
焜,訓,かが,やく,表内読み
焜,訓,あき,らか,表内読み
焜,音,コン,,表内読み
瀀,音,ユウ,,表内読み
酖,訓,ふけ,る,表内読み
酖,音,タン,,表内読み
酖,音,チン,,表内読み
晃,訓,あき,らか,表内読み
晃,訓,ひか,る,表内読み
晃,音,コウ,,表内読み
夥,訓,おびただ,しい,表内読み
夥,訓,おお,い,表内読み
夥,訓,なかま,,表内読み
夥,音,カ,,表内読み
瑫,音,トウ,,表内読み
衒,訓,う,る,表内読み
衒,訓,てら,う,表内読み
衒,訓,ひけ,らかす,表内読み
衒,音,ゲン,,表内読み
衒,音,ケン,,表内読み
瞳,訓,ひとみ,,表内読み
瞳,音,ドウ,,表内読み
瞳,音,トウ,,表外読み
佸,訓,あ,う,表内読み
佸,音,カツ,,表内読み
漉,訓,こ,す,表内読み
漉,訓,したた,らせる,表内読み
漉,訓,す,く,表内読み
漉,音,ロク,,表内読み
娃,訓,うつく,しい,表内読み
娃,音,アイ,,表内読み
娃,音,ア,,表内読み
腰,訓,こし,,表内読み
腰,音,ヨウ,,表内読み
覺,訓,おぼ,える,表内読み
覺,訓,さ,ます,表内読み
覺,訓,さ,める,表内読み
覺,訓,さと,る,表内読み
覺,訓,さと,り,表内読み
覺,音,カク,,表内読み
臠,訓,きりみ,,表内読み
臠,訓,みそなわ,す,表内読み
臠,音,レン,,表内読み
蒲,訓,がま,,表内読み
蒲,訓,かわやなぎ,,表内読み
蒲,訓,むしろ,,表内読み
蒲,訓,かば,,表内読み
蒲,音,ホ,,表内読み
蒲,音,ブ,,表内読み
蒲,音,フ,,表内読み
礫,訓,こいし,,表内読み
礫,訓,つぶて,,表内読み
礫,音,レキ,,表内読み
磈,音,カイ,,表内読み
磈,音,イ,,表内読み
耤,音,セキ,,表内読み
耤,音,シャ,,表内読み
箑,音,ソウ,,表内読み
箑,音,ショウ,,表内読み
圡,訓,つち,,表内読み
圡,音,ド,,表内読み
圡,音,ト,,表内読み
愰,音,コウ,,表内読み
撓,訓,たわ,める,表内読み
撓,訓,たわ,む,表内読み
撓,訓,た,める,表内読み
撓,訓,しな,う,表内読み
撓,訓,みだ,れる,表内読み
撓,訓,しわ,る,表内読み
撓,訓,くじ,ける,表内読み
撓,訓,いた,める,表内読み
撓,訓,しおり,,表内読み
撓,音,ドウ,,表内読み
撓,音,コウ,,表内読み
撓,音,トウ,,表内読み
他,訓,ほか,,表内読み
他,音,タ,,表内読み
廊,訓,わたどの,,表内読み
廊,音,ロウ,,表内読み
皎,訓,しろ,い,表内読み
皎,訓,きよ,い,表内読み
皎,音,コウ,,表内読み
皎,音,キョウ,,表内読み
銉,音,イツ,,表内読み
肺,音,ハイ,,表内読み
搶,訓,つ,く,表内読み
搶,訓,あつ,まる,表内読み
搶,音,ソウ,,表内読み
搶,音,ショウ,,表内読み
毖,訓,つつし,む,表内読み
毖,音,ヒ,,表内読み
箟,訓,しのだけ,,表内読み
箟,音,キン,,表内読み
笮,音,サク,,表内読み
熯,音,カン,,表内読み
熯,音,ゼン,,表内読み
玢,音,ヒン,,表内読み
玢,音,フン,,表内読み
惜,訓,お,しい,表内読み
惜,訓,お,しむ,表内読み
惜,音,セキ,,表内読み
惜,音,シャク,,表外読み
瓢,訓,ひさご,,表内読み
瓢,訓,ふくべ,,表内読み
瓢,音,ヒョウ,,表内読み
囗,音,イ,,表内読み
囗,音,コク,,表内読み
繋,訓,つな,ぐ,表内読み
繋,訓,つな,がる,表内読み
繋,訓,とら,える,表内読み
繋,訓,か,ける,表内読み
繋,訓,か,かる,表内読み
繋,訓,きずな,,表内読み
繋,音,ケイ,,表内読み
蔀,訓,しとみ,,表内読み
蔀,訓,おお,い,表内読み
蔀,音,ホウ,,表内読み
蔀,音,ブ,,表内読み
凅,訓,こお,る,表内読み
凅,音,コ,,表内読み
優,訓,やさ,しい,表内読み
優,訓,すぐ,れる,表内読み
優,訓,ゆた,か,表外読み
優,訓,まさ,る,表外読み
優,訓,わざおぎ,,表外読み
優,訓,やわ,らぐ,表外読み
優,音,ユウ,,表内読み
優,音,ウ,,表外読み
審,訓,つまび,らか,表外読み
審,訓,つまび,らかにする,表外読み
審,音,シン,,表内読み
胖,訓,ゆた,か,表内読み
胖,音,ハン,,表内読み
墐,訓,ぬ,る,表内読み
墐,音,キン,,表内読み
噫,訓,ああ,,表内読み
噫,訓,おくび,,表内読み
噫,音,イ,,表内読み
噫,音,アイ,,表内読み
厦,訓,いえ,,表内読み
厦,音,カ,,表内読み
羇,訓,たび,,表内読み
羇,訓,たびびと,,表内読み
羇,音,キ,,表内読み
嵩,訓,たか,い,表内読み
嵩,訓,かさ,,表内読み
嵩,訓,かさ,む,表内読み
嵩,音,スウ,,表内読み
嵩,音,シュウ,,表内読み
瀺,音,サン,,表内読み
纜,訓,ともづな,,表内読み
纜,音,ラン,,表内読み
媼,訓,おうな,,表内読み
媼,訓,うば,,表内読み
媼,音,オウ,,表内読み
慼,訓,うれ,える,表内読み
慼,音,セキ,,表内読み
慼,音,シャク,,表内読み
嬾,訓,おこた,る,表内読み
嬾,訓,ものう,い,表内読み
嬾,音,ラン,,表内読み
毚,音,サン,,表内読み
毚,音,ザン,,表内読み
浮,訓,う,く,表内読み
浮,訓,う,かれる,表内読み
浮,訓,う,かぶ,表内読み
浮,訓,う,かべる,表内読み
浮,音,フ,,表内読み
浮,音,ブ,,表外読み
浮,音,フウ,,表外読み
蟪,音,ケイ,,表内読み
董,訓,ただ,す,表内読み
董,音,トウ,,表内読み
饂,音,ウン,,表内読み
蕃,訓,しげ,る,表内読み
蕃,訓,ふ,える,表内読み
蕃,訓,まがき,,表内読み
蕃,訓,えびす,,表内読み
蕃,音,バン,,表内読み
蕃,音,ハン,,表内読み
幉,訓,たづな,,表内読み
羯,訓,えびす,,表内読み
羯,音,カツ,,表内読み
羯,音,ケツ,,表内読み
庄,訓,いなか,,表内読み
庄,訓,むらざと,,表内読み
庄,音,ショウ,,表内読み
庄,音,ソウ,,表内読み
庄,音,ホウ,,表内読み
煌,訓,かがや,く,表内読み
煌,訓,きら,めく,表内読み
煌,訓,あき,らか,表内読み
煌,音,コウ,,表内読み
熱,訓,あつ,い,表内読み
熱,訓,ほて,る,表外読み
熱,訓,いき,る,表外読み
熱,訓,ほとぼり,,表外読み
熱,音,ネツ,,表内読み
衯,音,フン,,表内読み
湘,音,ショウ,,表内読み
乏,訓,とぼ,しい,表内読み
乏,音,ボウ,,表内読み
乏,音,ホウ,,表外読み
鳳,訓,おおとり,,表内読み
鳳,音,ホウ,,表内読み
鳳,音,ブウ,,表内読み
扎,訓,ぬ,く,表内読み
扎,訓,かま,える,表内読み
扎,音,サツ,,表内読み
鞐,訓,こはぜ,,表内読み
濊,音,ワイ,,表内読み
濊,音,カイ,,表内読み
濊,音,カツ,,表内読み
慠,訓,おごる,,表内読み
慠,音,ゴウ,,表内読み
崤,音,コウ,,表内読み
顚,訓,いただき,,表内読み
顚,訓,たお,れる,表内読み
顚,訓,くつがえ,る,表内読み
顚,音,テン,,表内読み
扞,訓,ふせ,ぐ,表内読み
扞,訓,おお,う,表内読み
扞,訓,ひ,く,表内読み
扞,音,カン,,表内読み
描,訓,えが,く,表内読み
描,訓,か,く,表内読み
描,音,ビョウ,,表内読み
镹,訓,ひさ,しい,表内読み
镹,音,キュウ,,表内読み
镹,音,ク,,表内読み
右,訓,みぎ,,表内読み
右,訓,たす,ける,表外読み
右,音,ウ,,表内読み
右,音,ユウ,,表内読み
鰕,訓,えび,,表内読み
鰕,音,カ,,表内読み
浸,訓,ひた,す,表内読み
浸,訓,ひた,る,表内読み
浸,訓,し,みる,表外読み
浸,音,シン,,表内読み
圏,訓,かこ,い,表外読み
圏,音,ケン,,表内読み
峙,訓,そばだ,つ,表内読み
峙,訓,そな,える,表内読み
峙,訓,たくわ,える,表内読み
峙,音,ジ,,表内読み
損,訓,そこ,なう,表内読み
損,訓,そこ,ねる,表内読み
損,訓,へ,る,表外読み
損,音,ソン,,表内読み
朗,訓,ほが,らか,表内読み
朗,訓,あき,らか,表内読み
朗,訓,たか,らか,表内読み
朗,音,ロウ,,表内読み
澑,訓,したた,る,表内読み
澑,訓,た,まる,表内読み
澑,訓,た,める,表内読み
澑,訓,た,まり,表内読み
澑,訓,ため,,表内読み
澑,音,リュウ,,表内読み
匀,音,イン,,表内読み
匀,音,キン,,表内読み
烽,訓,のろし,,表内読み
烽,音,ホウ,,表内読み
儡,訓,つか,れる,表内読み
儡,訓,くぐつ,,表内読み
儡,訓,でく,,表内読み
儡,音,ライ,,表内読み
得,訓,え,る,表内読み
得,訓,う,る,表内読み
得,音,トク,,表内読み
永,訓,なが,い,表内読み
永,訓,とこしえ,,表外読み
永,音,エイ,,表内読み
永,音,ヨウ,,表外読み
屠,訓,さ,く,表内読み
屠,訓,ほふ,る,表内読み
屠,音,ト,,表内読み
棖,訓,ほうだて,,表内読み
棖,音,トウ,,表内読み
痒,訓,かゆ,い,表内読み
痒,訓,や,む,表内読み
痒,訓,やまい,,表内読み
痒,訓,かさ,,表内読み
痒,音,ヨウ,,表内読み
責,訓,せ,める,表内読み
責,音,セキ,,表内読み
責,音,シャク,,表外読み
責,音,サイ,,表外読み
躶,訓,はだか,,表内読み
躶,訓,はだぬ,ぐ,表内読み
躶,音,ラ,,表内読み
渴,訓,かわ,く,表内読み
渴,訓,か,れる,表内読み
渴,訓,むさぼ,る,表内読み
渴,音,カツ,,表内読み
挃,音,チツ,,表内読み
鱣,音,テン,,表内読み
鱣,音,セン,,表内読み
稗,訓,ひえ,,表内読み
稗,訓,こま,かい,表内読み
稗,音,ハイ,,表内読み
裘,訓,かわごろも,,表内読み
裘,音,キュウ,,表内読み
鰚,訓,はらか,,表内読み
鋥,音,トウ,,表内読み
粫,訓,うるち,,表内読み
圊,訓,かわや,,表内読み
圊,音,セイ,,表内読み
准,訓,なぞら,える,表外読み
准,音,ジュン,,表内読み
准,音,シュン,,表外読み
屐,訓,はきもの,,表内読み
屐,音,ゲキ,,表内読み
屐,音,ケキ,,表内読み
私,訓,わたくし,,表内読み
私,訓,わたし,,表内読み
私,訓,ひそ,か,表外読み
私,音,シ,,表内読み
崐,音,コン,,表内読み
焰,訓,ほのお,,表内読み
焰,訓,も,える,表内読み
焰,音,エン,,表内読み
江,訓,え,,表内読み
江,音,コウ,,表内読み
轡,訓,たづな,,表内読み
轡,訓,くつわ,,表内読み
轡,音,ヒ,,表内読み
𣱿,訓,ぬかり,,表内読み
綧,音,シュン,,表内読み
惵,訓,おそ,れる,表内読み
惵,音,チョウ,,表内読み
橸,訓,まさ,,表内読み
葫,音,コ,,表内読み
撿,訓,しら,べる,表内読み
撿,音,ケン,,表内読み
撿,音,レン,,表内読み
屶,訓,なた,,表内読み
屶,音,カイ,,表内読み
迦,音,カ,,表内読み
牢,訓,ひとや,,表内読み
牢,訓,かた,い,表内読み
牢,訓,いけにえ,,表内読み
牢,音,ロウ,,表内読み
謝,訓,あやま,る,表内読み
謝,訓,ことわ,る,表外読み
謝,訓,さ,る,表外読み
謝,音,シャ,,表内読み
欟,訓,つき,,表内読み
軅,訓,たか,,表内読み
𦹀,訓,くご,,表内読み
閧,訓,ちまた,,表内読み
閧,音,コウ,,表内読み
帯,訓,お,びる,表内読み
帯,訓,おび,,表内読み
帯,音,タイ,,表内読み
嬗,音,セン,,表内読み
嬗,音,ゼン,,表内読み
留,訓,と,める,表内読み
留,訓,と,まる,表内読み
留,訓,とど,める,表外読み
留,訓,とど,まる,表外読み
留,音,リュウ,,表内読み
留,音,ル,,表内読み
綾,訓,あや,,表内読み
綾,音,リョウ,,表内読み
綾,音,リン,,表内読み
烱,訓,ひか,る,表内読み
烱,訓,あき,らか,表内読み
烱,音,ケイ,,表内読み
籹,音,ジョ,,表内読み
嚲,音,タ,,表内読み
諳,訓,そらん,じる,表内読み
諳,訓,さと,る,表内読み
諳,訓,な,れる,表内読み
諳,音,アン,,表内読み
秉,訓,と,る,表内読み
秉,訓,まも,る,表内読み
秉,訓,いねたば,,表内読み
秉,訓,え,,表内読み
秉,音,ヘイ,,表内読み
渚,訓,なぎさ,,表内読み
渚,音,ショ,,表内読み
絺,音,チ,,表内読み
攀,訓,よ,じる,表内読み
攀,訓,すが,る,表内読み
攀,訓,ひ,く,表内読み
攀,音,ハン,,表内読み
厓,訓,がけ,,表内読み
厓,音,ガイ,,表内読み
并,訓,あわ,せる,表内読み
并,訓,なら,ぶ,表内読み
并,訓,なら,びに,表内読み
并,音,ヘイ,,表内読み
諦,訓,あきら,める,表内読み
諦,訓,つまび,らか,表外読み
諦,訓,まこと,,表外読み
諦,音,テイ,,表内読み
諦,音,タイ,,表外読み
草,訓,くさ,,表内読み
草,音,ソウ,,表内読み
睚,訓,まなじり,,表内読み
睚,訓,にら,む,表内読み
睚,音,ガイ,,表内読み
鮴,訓,ごり,,表内読み
鮴,訓,めばる,,表内読み
乘,訓,の,る,表内読み
乘,訓,の,せる,表内読み
乘,音,ジョウ,,表内読み
乘,音,ショウ,,表内読み
玿,音,ショウ,,表内読み
𪀚,音,シュウ,,表内読み
鹸,訓,しおけ,,表内読み
鹸,訓,あく,,表内読み
鹸,音,ケン,,表内読み
鹸,音,カン,,表内読み
惠,訓,めぐ,む,表内読み
惠,訓,めぐ,み,表内読み
惠,音,ケイ,,表内読み
惠,音,エ,,表内読み
迄,訓,およ,ぶ,表内読み
迄,訓,いた,る,表内読み
迄,訓,つい,に,表内読み
迄,訓,まで,,表内読み
迄,音,キツ,,表内読み
昢,音,ホツ,,表内読み
靇,音,ロウ,,表内読み
訃,訓,つ,げる,表外読み
訃,訓,し,らせ,表外読み
訃,音,フ,,表内読み
兆,訓,きざ,す,表内読み
兆,訓,きざ,し,表内読み
兆,訓,うらな,い,表外読み
兆,音,チョウ,,表内読み
兆,音,ジョウ,,表外読み
湃,音,ハイ,,表内読み
癸,訓,みずのと,,表内読み
癸,訓,はか,る,表内読み
癸,音,キ,,表内読み
蔟,訓,まぶし,,表内読み
蔟,訓,あつ,まる,表内読み
蔟,訓,むら,がる,表内読み
蔟,音,ゾク,,表内読み
蔟,音,ソク,,表内読み
蔟,音,ソウ,,表内読み
𦫿,訓,よもぎ,,表内読み
𦫿,訓,もぐさ,,表内読み
𦫿,訓,としよ,り,表内読み
𦫿,訓,おさ,める,表内読み
𦫿,訓,か,る,表内読み
𦫿,音,ガイ,,表内読み
菻,音,リン,,表内読み
尩,音,オウ,,表内読み
艴,音,フツ,,表内読み
斯,訓,これ,,表内読み
斯,訓,こ,の,表内読み
斯,訓,ここ,,表内読み
斯,訓,か,く,表内読み
斯,訓,か,かる,表内読み
斯,音,シ,,表内読み
婷,音,テイ,,表内読み
關,訓,かんぬき,,表内読み
關,訓,せき,,表内読み
關,訓,からくり,,表内読み
關,訓,かか,わる,表内読み
關,音,カン,,表内読み
昱,訓,あき,らか,表内読み
昱,音,イク,,表内読み
旻,訓,あきぞら,,表内読み
旻,訓,そら,,表内読み
旻,音,ビン,,表内読み
旻,音,ミン,,表内読み
趕,音,カン,,表内読み
幡,訓,はた,,表内読み
幡,訓,のぼり,,表内読み
幡,訓,ひるがえ,る,表内読み
幡,音,ハン,,表内読み
幡,音,マン,,表内読み
幡,音,ホン,,表内読み
引,訓,ひ,く,表内読み
引,訓,ひ,ける,表内読み
引,音,イン,,表内読み
幃,訓,とばり,,表内読み
幃,音,イ,,表内読み
歛,訓,のぞ,む,表内読み
歛,訓,ねが,う,表内読み
歛,訓,あた,える,表内読み
歛,音,カン,,表内読み
抔,訓,すく,う,表内読み
抔,訓,など,,表内読み
抔,音,ホウ,,表内読み
縅,訓,おど,す,表内読み
縅,訓,おどし,,表内読み
殘,訓,のこ,る,表内読み
殘,訓,のこ,す,表内読み
殘,訓,そこ,なう,表内読み
殘,音,ザン,,表内読み
捄,訓,も,る,表内読み
捄,音,ク,,表内読み
捄,音,キュウ,,表内読み
枴,訓,つえ,,表内読み
枴,音,カイ,,表内読み
篩,訓,ふるい,,表内読み
篩,訓,ふる,う,表内読み
篩,音,シ,,表内読み
腺,音,セン,,表内読み
筑,音,チク,,表内読み
摘,訓,つ,む,表内読み
摘,訓,つま,む,表外読み
摘,音,テキ,,表内読み
晙,音,シュン,,表内読み
絜,音,ケツ,,表内読み
拳,訓,こぶし,,表内読み
拳,音,ケン,,表内読み
拳,音,ゲン,,表外読み
髏,訓,されこうべ,,表内読み
髏,訓,しゃれこうべ,,表内読み
髏,音,ロウ,,表内読み
髏,音,ロ,,表内読み
𥱤,訓,いざさ,,表内読み
𥱤,訓,いざき,,表内読み
𥱤,訓,しの,,表内読み
𥱤,音,シュウ,,表内読み
揣,訓,はか,る,表内読み
揣,訓,おしはか,る,表内読み
揣,音,シ,,表内読み
町,訓,まち,,表内読み
町,訓,あぜみち,,表外読み
町,音,チョウ,,表内読み
町,音,テイ,,表外読み
門,訓,かど,,表内読み
門,訓,と,,表外読み
門,訓,いえ,,表外読み
門,訓,みうち,,表外読み
門,音,モン,,表内読み
門,音,ボン,,表外読み
俗,音,ゾク,,表内読み
辧,訓,わ,ける,表内読み
辧,訓,わきま,える,表内読み
辧,音,ベン,,表内読み
𡜆,音,エツ,,表内読み
鄆,音,ウン,,表内読み
隽,訓,すぐ,れる,表内読み
隽,音,セン,,表内読み
隽,音,シュン,,表内読み
邰,音,タイ,,表内読み
佈,訓,し,く,表内読み
佈,音,ホ,,表内読み
佈,音,フ,,表内読み
孺,訓,ちのみご,,表内読み
孺,訓,おさな,い,表内読み
孺,音,ジュ,,表内読み
娥,訓,みめよ,い,表内読み
娥,訓,うつく,しい,表内読み
娥,音,ガ,,表内読み
成,訓,な,る,表内読み
成,訓,な,す,表内読み
成,音,セイ,,表内読み
成,音,ジョウ,,表内読み
鴞,訓,ふくろう,,表内読み
鴞,音,キョウ,,表内読み
鴞,音,ヨウ,,表内読み
毛,訓,け,,表内読み
毛,音,モウ,,表内読み
毛,音,ボウ,,表外読み
媒,訓,なかだち,,表外読み
媒,音,バイ,,表内読み
䆴,訓,かまど,,表内読み
䆴,音,ソウ,,表内読み
穹,訓,そら,,表内読み
穹,訓,おおぞら,,表内読み
穹,訓,たか,い,表内読み
穹,訓,おお,きい,表内読み
穹,訓,ふか,い,表内読み
穹,訓,あな,,表内読み
穹,音,キュウ,,表内読み
倮,訓,はだか,,表内読み
倮,音,ラ,,表内読み
池,訓,いけ,,表内読み
池,音,チ,,表内読み
篊,訓,ひび,,表内読み
篊,音,コウ,,表内読み
嗌,訓,のど,,表内読み
嗌,訓,ぬせ,ぶ,表内読み
嗌,音,エキ,,表内読み
嗌,音,アク,,表内読み
嗌,音,アイ,,表内読み
剴,音,ガイ,,表内読み
剴,音,カイ,,表内読み
癆,訓,おとろえや,せる,表内読み
癆,訓,かぶ,れ,表内読み
癆,訓,いた,む,表内読み
癆,音,ロウ,,表内読み
敬,訓,うやま,う,表内読み
敬,訓,つつし,む,表外読み
敬,音,ケイ,,表内読み
敬,音,キョウ,,表外読み
廋,訓,かく,す,表内読み
廋,音,ソウ,,表内読み
廋,音,シュウ,,表内読み
蕾,訓,つぼみ,,表内読み
蕾,訓,つぼ,む,表内読み
蕾,音,ライ,,表内読み
橈,訓,たわ,む,表内読み
橈,訓,ま,げる,表内読み
橈,訓,くじ,く,表内読み
橈,訓,かじ,,表内読み
橈,訓,かい,,表内読み
橈,音,ドウ,,表内読み
橈,音,ジョウ,,表内読み
橈,音,ニョウ,,表内読み
斟,訓,く,む,表内読み
斟,訓,おしはか,る,表内読み
斟,音,シン,,表内読み
廃,訓,すた,れる,表内読み
廃,訓,すた,る,表内読み
廃,訓,や,める,表外読み
廃,音,ハイ,,表内読み
澠,音,ジョウ,,表内読み
澠,音,ショウ,,表内読み
澠,音,ベン,,表内読み
澠,音,メン,,表内読み
釧,訓,うでわ,,表内読み
釧,訓,くしろ,,表内読み
釧,音,セン,,表内読み
縁,訓,ふち,,表内読み
縁,訓,へり,,表外読み
縁,訓,えにし,,表外読み
縁,訓,ゆかり,,表外読み
縁,訓,よ,る,表外読み
縁,訓,よすが,,表外読み
縁,音,エン,,表内読み
餃,訓,あめ,,表内読み
餃,音,コウ,,表内読み
鄴,音,ギョウ,,表内読み
仂,訓,あまり,,表内読み
仂,訓,つと,める,表内読み
仂,音,ロク,,表内読み
仂,音,リョク,,表内読み
仂,音,リキ,,表内読み
圕,訓,－,,表内読み
圕,音,－,,表内読み
斐,訓,あや,,表内読み
斐,音,ヒ,,表内読み
齲,訓,むしば,,表内読み
齲,音,ウ,,表内読み
齲,音,ク,,表内読み
𩊠,訓,ぬめかわ,,表内読み
宀,音,ベン,,表内読み
宀,音,メン,,表内読み
硇,音,ドウ,,表内読み
臂,訓,うで,,表内読み
臂,訓,ひじ,,表内読み
臂,音,ヒ,,表内読み
飢,訓,う,える,表内読み
飢,音,キ,,表内読み
悰,音,ソウ,,表内読み
瀦,訓,みずたま,り,表内読み
瀦,訓,た,まる,表内読み
瀦,音,チョ,,表内読み
楉,訓,すわえ,,表内読み
楉,訓,しもと,,表内読み
楉,音,ジャク,,表内読み
昆,訓,あに,,表外読み
昆,音,コン,,表内読み
蛤,訓,はまぐり,,表内読み
蛤,音,コウ,,表内読み
紬,訓,つむ,ぐ,表内読み
紬,訓,つむぎ,,表内読み
紬,音,チュウ,,表内読み
穇,音,サン,,表内読み
刺,訓,さ,す,表内読み
刺,訓,さ,さる,表内読み
刺,訓,とげ,,表外読み
刺,訓,そし,る,表外読み
刺,音,シ,,表内読み
刺,音,セキ,,表外読み
槮,音,シン,,表内読み
礁,訓,かくれいわ,,表外読み
礁,音,ショウ,,表内読み
朽,訓,く,ちる,表内読み
朽,訓,すた,れる,表外読み
朽,音,キュウ,,表内読み
蝥,音,ボウ,,表内読み
蝥,音,ミョウ,,表内読み
碻,音,カク,,表内読み
博,訓,ひろ,い,表外読み
博,訓,ひろ,める,表外読み
博,音,ハク,,表内読み
博,音,バク,,表内読み
鵣,音,ライ,,表内読み
𨨞,訓,おの,,表内読み
𨨞,音,フ,,表内読み
璘,音,リン,,表内読み
䔈,音,コウ,,表内読み
滝,訓,たき,,表内読み
滝,音,ロウ,,表外読み
膈,音,カク,,表内読み
彭,音,ホウ,,表内読み
沽,訓,う,る,表内読み
沽,訓,か,う,表内読み
沽,音,コ,,表内読み
嚝,音,コウ,,表内読み
篝,訓,かご,,表内読み
篝,訓,ふせご,,表内読み
篝,訓,かがり,,表内読み
篝,音,コウ,,表内読み
墹,訓,まま,,表内読み
鑵,音,カン,,表内読み
稿,訓,わら,,表外読み
稿,訓,したがき,,表外読み
稿,音,コウ,,表内読み
跣,訓,はだし,,表内読み
跣,訓,すあし,,表内読み
跣,音,セン,,表内読み
譞,音,ケン,,表内読み
櫬,訓,ひつぎ,,表内読み
櫬,音,シン,,表内読み
圳,音,シン,,表内読み
圳,音,セン,,表内読み
鮬,訓,せいご,,表内読み
鮬,音,コ,,表内読み
吧,音,ハ,,表内読み
喝,訓,しか,る,表外読み
喝,訓,おど,す,表外読み
喝,音,カツ,,表内読み
