漢字,音訓,読み方,表内読み
比,訓,なら,ぶ,表外読み
比,訓,ころ,,表外読み
比,音,ヒ,,表内読み
匙,訓,さじ,,表内読み
匙,音,シ,,表内読み
𨫝,音,カン,,表内読み
部,訓,べ,,表外読み
部,訓,くみ,,表外読み
部,訓,わ,ける,表外読み
部,訓,す,べる,表外読み
部,訓,つかさ,,表外読み
部,音,ブ,,表内読み
部,音,ホ,,表外読み
部,音,ホウ,,表外読み
日,訓,ひ,,表内読み
日,訓,か,,表内読み
日,音,ニチ,,表内読み
日,音,ジツ,,表内読み
惘,訓,あき,れる,表内読み
惘,訓,ぼんやり,する,表内読み
惘,音,ボウ,,表内読み
惘,音,モウ,,表内読み
鍋,訓,なべ,,表内読み
鍋,音,カ,,表外読み
誮,訓,やさ,しい,表内読み
嶰,訓,たに,,表内読み
嶰,音,カイ,,表内読み
肄,訓,なら,う,表内読み
肄,訓,ひこばえ,,表内読み
肄,音,イ,,表内読み
縈,訓,めぐ,る,表内読み
縈,音,エイ,,表内読み
縈,音,ヨウ,,表内読み
伍,訓,くみ,,表内読み
伍,訓,いつ,つ,表内読み
伍,音,ゴ,,表内読み
逾,訓,こ,える,表内読み
逾,訓,こ,す,表内読み
逾,訓,いよいよ,,表内読み
逾,音,ユ,,表内読み
忔,音,キツ,,表内読み
抽,訓,ひ,く,表外読み
抽,訓,ぬ,く,表外読み
抽,音,チュウ,,表内読み
錙,訓,わず,か,表内読み
錙,音,シ,,表内読み
看,訓,み,る,表外読み
看,音,カン,,表内読み
南,訓,みなみ,,表内読み
南,音,ナン,,表内読み
南,音,ナ,,表内読み
南,音,ダン,,表外読み
琥,音,コ,,表内読み
蹤,訓,あと,,表内読み
蹤,訓,あしあと,,表内読み
蹤,訓,したが,う,表内読み
蹤,音,ショウ,,表内読み
尣,音,オウ,,表内読み
張,訓,は,る,表内読み
張,音,チョウ,,表内読み
纔,訓,わず,か,表内読み
纔,訓,わず,かに,表内読み
纔,音,サン,,表内読み
纔,音,サイ,,表内読み
綛,訓,かすり,,表内読み
綛,訓,かせ,,表内読み
毟,訓,むし,る,表内読み
噌,訓,かまびす,しい,表内読み
噌,音,ソ,,表内読み
噌,音,ソウ,,表内読み
蠍,訓,さそり,,表内読み
蠍,音,カツ,,表内読み
蠍,音,ケツ,,表内読み
嗾,訓,けしか,ける,表内読み
嗾,訓,そそのか,す,表内読み
嗾,音,ソウ,,表内読み
愛,訓,め,でる,表外読み
愛,訓,お,しむ,表外読み
愛,訓,いと,しい,表外読み
愛,訓,かな,しい,表外読み
愛,訓,う,い,表外読み
愛,訓,まな,,表外読み
愛,音,アイ,,表内読み
垸,音,カン,,表内読み
鬖,音,サン,,表内読み
瘼,音,バク,,表内読み
丒,訓,うし,,表内読み
丒,音,チュウ,,表内読み
篋,訓,はこ,,表内読み
篋,音,キョウ,,表内読み
譁,訓,かまびす,しい,表内読み
譁,音,カ,,表内読み
萪,音,カ,,表内読み
賰,音,シュン,,表内読み
綏,訓,たれひも,,表内読み
綏,訓,やす,い,表内読み
綏,訓,やす,らか,表内読み
綏,訓,やす,んずる,表内読み
綏,音,スイ,,表内読み
綏,音,タ,,表内読み
習,訓,なら,う,表内読み
習,訓,なら,い,表外読み
習,訓,なら,わし,表外読み
習,音,シュウ,,表内読み
習,音,ジュウ,,表外読み
鮫,訓,さめ,,表内読み
鮫,音,コウ,,表内読み
貯,訓,たくわ,える,表外読み
貯,訓,たくわ,え,表外読み
貯,音,チョ,,表内読み
棐,訓,ゆだめ,,表内読み
棐,訓,たす,ける,表内読み
棐,音,ヒ,,表内読み
