漢字,関連項目
百,一
百,十
百,正
百,千
百,京
百,万
百,億
百,極
百,兆
百,溝
百,載
百,穣
百,澗
百,垓
百,秭
丁,己
丁,乙
丁,甲
丁,辛
丁,丙
丁,壬
丁,庚
丁,戊
丁,癸
丑,子
丑,午
丑,申
丑,未
丑,丑
丑,亥
丑,卯
丑,寅
丑,巳
丑,辰
丑,酉
丑,戌
覡,巫
狼,狽
菝,葜
鸕,鵜
艹,艸
艹,艹
㓁,网
㓁,𦉰
鮃,鰈
螳,螂
鵳,鶙
僳,傈
鸜,鴝
肆,拾
肆,参
肆,陸
肆,壱
肆,漆
肆,弐
肆,伍
肆,玖
肆,捌
肆,肆
蝑,蜙
平,源
平,藤
平,橘
檸,檬
藭,芎
溝,一
溝,十
溝,正
溝,千
溝,百
溝,京
溝,万
溝,億
溝,極
溝,兆
溝,載
溝,穣
溝,澗
溝,垓
溝,秭
漆,拾
漆,参
漆,陸
漆,壱
漆,漆
漆,弐
漆,伍
漆,玖
漆,捌
漆,肆
飠,食
飠,𩙿
靛,藍
螂,螳
肺,心
肺,肺
肺,肝
肺,腎
肺,脾
秉,斛
絺,綌
兆,一
兆,十
兆,正
兆,千
兆,百
兆,京
兆,万
兆,億
兆,極
兆,溝
兆,載
兆,穣
兆,澗
兆,垓
兆,秭
癸,丁
癸,己
癸,乙
癸,甲
癸,辛
癸,丙
癸,壬
癸,庚
癸,戊
髏,髑
硇,磠
楉,榴
父,母
斗,女
斗,角
斗,牛
斗,室
斗,心
斗,星
斗,胃
斗,参
斗,張
斗,危
斗,鬼
斗,虚
斗,井
斗,尾
斗,壁
斗,房
斗,翼
斗,柳
斗,奎
斗,昴
斗,畢
斗,箕
斗,婁
斗,亢
斗,觜
斗,軫
斗,氐
鯨,鯢
穣,一
穣,十
穣,正
穣,千
穣,百
穣,京
穣,万
穣,億
穣,極
穣,兆
穣,溝
穣,載
穣,澗
穣,垓
穣,秭
凹,凸
蜉,蝣
狽,狼
甅,瓧
甅,瓩
甅,瓲
甅,瓰
甅,瓱
甅,瓸
螇,蚸
蔯,茵
千,一
千,十
千,正
千,百
千,京
千,万
千,億
千,極
千,兆
千,溝
千,載
千,穣
千,澗
千,垓
千,秭
䗥,螉
畢,女
畢,角
畢,牛
畢,室
畢,心
畢,星
畢,胃
畢,参
畢,張
畢,危
畢,鬼
畢,虚
畢,井
畢,斗
畢,尾
畢,壁
畢,房
畢,翼
畢,柳
畢,奎
畢,昴
畢,箕
畢,婁
畢,亢
畢,觜
畢,軫
畢,氐
粁,米
粁,粁
粁,糎
粁,粍
捌,拾
捌,参
捌,陸
捌,壱
捌,漆
捌,弐
捌,伍
捌,玖
捌,捌
捌,肆
螉,䗥
仚,仙
雌,雄
螬,蠐
霳,靊
㣺,心
㣺,忄
井,女
井,角
井,牛
井,室
井,心
井,星
井,胃
井,参
井,張
井,危
井,鬼
井,虚
井,斗
井,尾
井,壁
井,房
井,翼
井,柳
井,奎
井,昴
井,畢
井,箕
井,婁
井,亢
井,觜
井,軫
井,氐
瓸,瓧
瓸,瓩
瓸,瓲
瓸,瓰
瓸,瓱
瓸,甅
薐,菠
脚,構
脚,垂
脚,冠
脚,脚
脚,偏
脚,旁
脚,繞
𠆢,人
𠆢,亻
噠,嚈
畦,畝
鸊,鷉
柷,敔
鄘,衞
鄘,邶
菪,莨
弐,拾
弐,参
弐,陸
弐,壱
弐,漆
弐,弐
弐,伍
弐,玖
弐,捌
弐,肆
蓏,果
碰,磲
齪,齷
牝,牡
陽,陰
蛽,貝
商,羽
商,角
商,宮
商,徴
姮,嫦
嚈,噠
蟷,螂
蜴,蜥
玁,獫
餛,飩
冬,夏
冬,秋
冬,春
載,一
載,十
載,正
載,千
載,百
載,京
載,万
載,億
載,極
載,兆
載,溝
載,穣
載,澗
載,垓
載,秭
参,女
参,角
参,牛
参,室
参,心
参,星
参,拾
参,胃
参,参
参,陸
参,張
参,危
参,壱
参,鬼
参,虚
参,漆
参,井
参,斗
参,弐
参,尾
参,壁
参,房
参,翼
参,柳
参,伍
参,奎
参,昴
参,玖
参,畢
参,箕
参,婁
参,捌
参,亢
参,肆
参,觜
参,軫
参,氐
骯,髒
貔,貅
霹,靂
筕,篖
𡈁,国
侯,子
侯,男
侯,公
侯,伯
錕,鋙
糎,米
糎,粁
糎,糎
糎,粍
竍,竍
竍,竏
竍,竕
竍,竓
竍,竡
竍,竰
迠,迄
卅,廿
卅,卅
卅,卌
脖,胦
鳲,鳩
鋀,釷
瓩,瓧
瓩,瓲
瓩,瓰
瓩,瓱
瓩,瓸
瓩,甅
震,乾
震,離
震,巽
震,坤
震,艮
震,兌
震,坎
鬽,魅
酬,献
酬,酢
酬,酬
艉,艏
昴,女
昴,角
昴,牛
昴,室
昴,心
昴,星
昴,胃
昴,参
昴,張
昴,危
昴,鬼
昴,虚
昴,井
昴,斗
昴,尾
昴,壁
昴,房
昴,翼
昴,柳
昴,奎
昴,畢
昴,箕
昴,婁
昴,亢
昴,觜
昴,軫
昴,氐
𤭯,楾
蝌,蚪
髑,髏
源,平
源,藤
源,橘
八,一
八,九
八,三
八,四
八,七
八,十
八,二
八,八
八,六
八,五
氺,水
氺,氵
甘,苦
甘,酸
甘,辛
甘,鹹
綌,絺
梪,升
餺,飥
氵,水
氵,氺
酸,苦
酸,甘
酸,辛
酸,鹹
婁,女
婁,角
婁,牛
婁,室
婁,心
婁,星
婁,胃
婁,参
婁,張
婁,危
婁,鬼
婁,虚
婁,井
婁,斗
婁,尾
婁,壁
婁,房
婁,翼
婁,柳
婁,奎
婁,昴
婁,畢
婁,箕
婁,亢
婁,觜
婁,軫
婁,氐
徴,羽
徴,角
徴,宮
徴,商
瓧,瓩
瓧,瓲
瓧,瓰
瓧,瓱
瓧,瓸
瓧,甅
