漢字,名乗り訓
岩,かた
岩,せき
岩,たか
企,もと
喜,このむ
喜,たのし
喜,とし
喜,のぶ
喜,はる
喜,ひさ
喜,ゆき
喜,よし
器,かた
基,のり
基,はじむ
基,はじめ
基,もと
基,もとい
奇,あや
奇,くし
奇,くす
奇,より
嬉,よし
寄,より
岐,ふなど
岐,みち
希,まれ
幾,いく
幾,おき
幾,ちか
幾,ちかし
幾,のり
幾,ふさ
旗,たか
旗,はた
期,さね
期,とき
期,とし
棄,すて
機,のり
機,はた
帰,よと
帰,より
毅,かた
毅,こわし
毅,たか
毅,たけ
毅,たけし
毅,つよ
毅,つよき
毅,つよし
毅,とし
毅,のり
毅,はた
毅,はたす
気,おき
畿,ちか
季,すえ
季,とき
季,とし
季,ひで
季,みのる
稀,まれ
紀,あき
紀,おさ
紀,おさむ
紀,かず
紀,かなめ
紀,こと
紀,しるす
紀,すみ
紀,ただ
紀,ただし
紀,つぐ
紀,つな
紀,とし
紀,のり
紀,はじめ
紀,もと
紀,よし
徽,よし
規,ただ
規,ただし
規,ただす
規,ちか
規,なり
規,のり
規,み
規,もと
記,しるす
記,とし
記,なり
記,のり
記,ふさ
記,ふみ
記,よし
貴,あつ
貴,あて
貴,たか
貴,たかし
貴,たけ
貴,むち
貴,よし
起,おき
起,おこす
起,かず
起,たつ
起,ゆき
軌,のり
輝,あきら
輝,かがやき
輝,てる
輝,ひかる
騎,のり
鬼,おに
亀,あま
亀,あや
亀,かめ
亀,すすむ
亀,ながし
亀,ひさ
亀,ひさし
儀,きたる
儀,ただし
儀,のり
儀,よし
宜,き
宜,すみ
宜,たか
宜,なり
宜,のぶ
宜,のり
宜,のる
宜,まさ
宜,やす
宜,よし
宜,よろし
技,あや
技,わざ
祇,けさ
祇,つみ
祇,のり
祇,まさ
祇,もと
義,あき
義,いさ
義,しげ
義,たけ
義,ただし
義,ちか
義,つとむ
義,とも
義,のり
義,みち
義,よし
義,より
誼,こと
誼,よし
議,かた
議,のり
菊,あき
菊,ひ
鞠,つぐ
鞠,まり
鞠,みつ
吉,さち
吉,とみ
吉,はじめ
吉,よ
吉,よし
橘,たちばな
砧,きぬ
杵,き
杵,きね
客,ひと
客,まさ
脚,あし
脚,し
逆,さか
丘,お
丘,おか
丘,たか
丘,たかし
久,つね
久,なが
久,ひこ
久,ひさ
久,ひさし
休,たね
休,のぶ
休,やす
休,やすむ
休,よし
及,いたる
及,しき
及,たか
及,ちか
宮,いえ
宮,たか
宮,みや
弓,ゆ
弓,ゆみ
救,すけ
救,たすく
救,なり
救,ひら
救,やす
朽,え
求,ひで
求,まさ
求,もと
求,もとむ
汲,くみ
泣,なき
球,たま
究,きわみ
究,きわむ
究,さた
究,さだ
究,すみ
究,み
窮,きわむ
窮,み
級,しな
糾,ただ
糾,ただし
糾,ただす
給,たり
給,はる
旧,ひさ
旧,ふさ
旧,ふる
旧,もと
牛,うし
牛,とし
去,さる
去,なる
居,い
居,おき
