漢字,異体字
天,兲
展,㞡
添,𣷹
纏,纒
甜,甛
転,轉
顛,顚
点,點
点,奌
点,㸃
伝,傳
伝,传
殿,𣪍
電,电
兎,兔
妬,妒
菟,莵
都,都
砺,礪
土,𡈽
土,圡
党,黨
冬,昸
凍,冻
刀,釖
塔,墖
島,嶋
島,嶌
島,㠀
島,嶹
島,岛
嶋,島
嶋,嶌
嶋,㠀
嶋,嶹
嶋,岛
搭,撘
東,东
梼,檮
棟,栋
盗,盜
涛,濤
灯,燈
燈,灯
当,當
祷,禱
糖,𥹥
糖,糛
統,綂
蕩,蘯
藤,䕨
謄,誊
逃,迯
頭,头
騰,駦
闘,鬪
闘,鬭
動,动
同,仝
堂,坣
導,导
道,衟
得,䙷
得,𢔶
徳,悳
徳,𢛳
徳,恴
徳,惪
徳,㥁
涜,瀆
涜,凟
篤,䔍
独,獨
読,讀
栃,杤
突,突
届,屆
酉,丣
敦,㪟
豚,豘
呑,吞
奈,柰
奈,㮈
那,𨙻
内,內
縄,繩
軟,輭
難,難
弐,貳
弐,貮
迩,邇
廿,卄
韮,韭
妊,姙
妊,𡜟
禰,祢
祢,禰
寧,寍
寧,寜
寧,寕
葱,蔥
猫,貓
熱,热
年,秊
粘,黏
廼,迺
埜,野
埜,𡌛
埜,壄
埜,㙒
嚢,囊
悩,惱
悩,𢚰
悩,恼
脳,腦
脳,匘
農,辳
農,䢉
農,农
農,欁
蚤,𧎮
播,𢿥
覇,霸
廃,廢
廃,废
拝,拜
敗,贁
杯,盃
杯,桮
杯,㮎
盃,杯
盃,桮
盃,㮎
輩,軰
梅,梅
梅,楳
梅,槑
楳,梅
楳,梅
楳,槑
買,买
売,賣
売,卖
這,这
蝿,蠅
矧,矤
剥,剝
博,愽
拍,𢫦
柏,栢
迫,廹
麦,麥
函,凾
函,圅
肇,肈
櫨,枦
櫨,栌
鉢,𥁊
鉢,盋
鉢,缽
溌,潑
発,發
発,彂
醗,醱
髪,髮
罰,罸
抜,拔
抜,㧞
筏,栰
帆,㠶
帆,䑺
帆,𩗋
斑,辬
班,𤤻
繁,繁
繁,䋣
飯,飰
晩,晚
晩,𣆶
蛮,蠻
卑,卑
卑,𤰞
比,夶
碑,碑
秘,祕
備,僃
備,偹
微,㣲
毘,毗
毘,𣬈
彦,彥
膝,厀
菱,蔆
弼,弻
弼,𢐀
筆,笔
桧,檜
姫,姬
標,标
氷,冰
廟,庿
廟,庙
浜,濱
浜,濵
賓,賓
賓,賔
賓,宾
頻,頻
敏,敏
敏,勄
瓶,甁
埠,埗
婦,媍
婦,妇
富,冨
冨,富
怖,悑
敷,𢾭
斧,𨨞
普,暜
膚,肤
侮,侮
撫,抚
部,郶
楓,枫
風,凮
風,凬
風,飌
風,凨
福,福
淵,渕
淵,渊
淵,囦
払,拂
仏,佛
鮒,𩷺
噴,喷
墳,坟
憤,愤
焚,燓
糞,𨤝
聞,𥹢
併,倂
塀,塀
幣,幤
柄,棅
並,竝
並,傡
閉,閇
別,𠛰
別,别
箆,篦
変,變
変,变
辺,邊
辺,邉
便,𠊳
勉,勉
弁,辧
弁,辨
弁,瓣
弁,辯
舗,鋪
舗,舖
鋪,舗
鋪,舖
歩,步
穂,穗
報,报
宝,寶
宝,寳
宝,寚
峰,峯
峯,峰
法,灋
法,㳒
法,佱
砲,礮
萌,萠
蜂,蠭
褒,襃
豊,豐
邦,峀
鋒,鏠
鳳,凤
鳳,鳯
亡,兦
亡,亾
帽,㡌
忘,㤀
暴,曓
望,朢
冒,冐
貌,皃
貌,㒵
貌,䫉
防,埅
頬,頰
僕,㒒
僕,䑑
墨,墨
撲,擈
没,沒
奔,𢍃
翻,飜
凡,凢
凡,凣
摩,擵
磨,䃺
麻,蔴
埋,薶
毎,每
槙,槇
幕,幙
枕,𣏝
桝,枡
侭,儘
繭,絸
繭,蠒
万,萬
慢,𢢔
満,滿
密,𡶇
密,宻
湊,凑
蓑,簑
蓑,簔
脈,脉
脈,衇
妙,玅
務,务
夢,梦
夢,㝱
夢,夣
矛,𨥨
霧,霚
婿,壻
婿,聟
冥,㝠
明,朙
免,免
綿,緜
面,靣
麺,麪
麺,麵
耗,秏
儲,储
黙,默
餅,餠
尤,怣
戻,戾
悶,㥃
夜,亱
爺,𤕓
野,埜
野,𡌛
野,壄
野,㙒
弥,彌
弥,㣆
薬,藥
訳,譯
靖,靖
柳,栁
柳,桺
柳,桞
柳,橮
薮,藪
鑓,𨯯
癒,瘉
勇,勈
憂,𢝊
猶,犹
祐,祐
雄,䧺
予,豫
余,餘
与,與
誉,譽
輿,轝
傭,佣
妖,𡝩
容,兹
揚,扬
揚,敭
揺,搖
揺,摇
揺,㨱
擁,𢹬
擁,拥
様,樣
熔,鎔
窯,窰
窯,窑
謡,謠
踊,踴
遥,遙
陽,阳
陽,阦
養,养
沃,𣵽
翼,𦐂
裸,躶
来,來
莱,萊
頼,賴
雷,靁
乱,亂
嵐,岚
欄,欄
欄,栏
蘭,蘭
蘭,兰
覧,覽
利,𥝢
梨,棃
梨,梸
裏,裡
裡,裏
率,卛
略,畧
劉,刘
流,㳅
溜,澑
留,畄
留,畱
隆,隆
竜,龍
龍,竜
侶,侣
旅,挔
虜,虜
