漢字,解説・構成
華,「ケ」は高校で習う読み方です。
菓,くさかんむりに果
蝦,虫（むしへん）に叚
課,言（ごんべん）に果
嘩,口（くちへん）に華
貨,貝（かい・こがい）に化
貨,貝（かい・こがい）に亻に匕
迦,しんにょう・しんにゅうに加
過,しんにょう・しんにゅうに咼
過,「あやまつ」「あやまち」は高校で習う読み方です。
過,「過」は書き順を間違えやすい漢字の一つです。→「過」の書き順（筆順）
霞,雨（あめかんむり）に叚
蚊,むしへんに文
俄,にんべんに我
峨,山（やまへん）に我
我,「ガ」「わ」は中学校で習う読み方です。
我,「我」は書き順を間違えやすい漢字の一つです。→「我」の書き順（筆順）
臥,臣（しん）に人
芽,くさかんむりに牙
蛾,虫（むしへん）に我
賀,貝（かい・こがい）に加
賀,2020年に習う学年が変更されました。（五年生で習う漢字→四年生で習う漢字）
雅,隹（ふるとり）に牙
餓,しょくへんに我
駕,馬（うま）に加
会,人（ひとやね・ひとがしら）に云
会,「エ」は高校で習う読み方です。
解,つのへんに刀に牛
解,「ゲ」は高校で習う読み方です。
回,「エ」は高校で習う読み方です。
塊,つちへん・どへんに鬼
廻,廴（えんにょう・いんにょう）に回
快,りっしんべんに夬
怪,りっしんべんに圣
悔,りっしんべんに毎
恢,忄（りっしんべん）に
懐,「ふところ」「なつく」「なつける」「なつかしい」「なつかしむ」は高校で習う読み方です。
戒,戈（ほこ・ほこづくり・ほこがまえ）に廾
戒,「誡」の書きかえとして用いられる字。
拐,てへんに叧
拐,てへんに口に刀
改,攵（のぶん・ぼくづくり）に己
魁,鬼（きにょう）に斗
晦,日（ひへん・にちへん）に每
械,きへんに戒
械,「械」は書き順を間違えやすい漢字の一つです。→「械」の書き順（筆順）
海,さんずいに毎
海,「海」は書き順を間違えやすい漢字の一つです。→「海」の書き順（筆順）
灰,火（ひ）に厂
灰,「カイ」は中学校で習う読み方です。
界,田（た）に介
皆,白（しろ・しろへん）に比
絵,糸（いとへん）に会
芥,くさかんむりに介
蟹,虫（むし）に解
開,もんがまえ・かどがまえに开
階,こざとへんに皆
凱,几（つくえ・きにょう）に豈
劾,力（ちから）に亥
外,夕（た・ゆう・ゆうべ）にト
外,「ゲ」は中学校で習う読み方です。
咳,口（くちへん）に亥
崖,山（やま・やまかんむり）に厓
崖,2010年11月30日に常用漢字に追加されました。
慨,りっしんべんに既
概,きへんに既
涯,さんずいに厓
碍,石（いしへん）に㝵
蓋,くさかんむりに盍
蓋,2010年11月30日に常用漢字に追加されました。
