漢字,意味
狎,なれる。したしむ。なれなれしくする。あなどる。
狎,かわるがわる。
狒,狒狒。ひひ。
狢,むじな。アナグマ。たぬき。
狠,かむ。かみつく。
狠,もとる。ねじける。
狠,はなはだ。非常に。
狡,ずるい。こすい。わるがしこい。
狡,すばやい。
狡,くるう。みだれる。
狹,せまい。面積などがせまい。心がせまい。
狹,◦国 さ。語調を整える接頭語。せまい・小さい意を表す接頭語。
狷,心がせまい。
狷,かたいじ。頑固。
倏,犬が速く走るさま。
倏,たちまち。すみやか。にわかに。
猗,ああ。感嘆を表す声。
猗,うつくしい。うるわしい。
猗,よる。よりかかる。
猊,狻猊（サンゲイ）。獅子。
猊,仏のすわる座。高僧の座。
猜,うたがう。あやしむ。
猜,そねむ。ねたむ。
猖,くるう。たけりくるう。あれる。みだれる。
猝,にわか。にわかに。急に。
猝,はやい。すみやか。
猴,さる。ましら。
猯,まみ。あなぐま。
猩,猩猩。想像上の動物。猿に似た姿で人の言葉を理解し酒を好むとされる。
猩,猩猩。オランウータン。
猩,あかいろ。
猥,みだりに。むやみに。
猥,みだら。みだらな。いやしい。
猥,みだれる。
猥,おおい。さかん。
猾,わるがしこい。
猾,みだれる。みだす。
獎,すすめる。はげます。
獎,ほめる。
獎,たすける。
獏,想像上の動物。人の悪夢を食べるとされる。
獏,ばく。バク科の哺乳動物。
默,だまる。もだす。口をきかない。
獗,たける。たけりくるう。あれくるう。
獪,わるがしこい。
獨,ひとり。相手がいない。身寄りのない。自分だけ。
獨,◦国 国名。ドイツ。独逸の略。
獰,わるい。凶悪。にくにくしい。
獸,けもの。けだもの。
獸,ほしじ。干し肉。
獵,かり。鳥獣を追いたて捕らえる。
獵,かる。かりをする。
獵,あさる。さがす。
獵,◦国 りょう。魚介類をとること。
獻,たてまつる。ささげる。まつる。そなえる。
獻,客に酒をすすめる。
獻,かしこい人。
獺,かわうそ。イタチ科の哺乳動物。
珈,婦人のかみかざり。女性の髪につける玉飾り。
珈,◦国 珈琲。coffeeの音訳。
玳,玳瑁（タイマイ）。ウミガメ科タイマイ属の爬虫類。
珎,たから。宝物。
珎,めずらしい。めったにない。変わっている。
珎,貴重な。
玻,玻璃（ハリ）。水晶。ガラス。七宝の一つ。
珀,琥珀。黄色で光沢のある樹脂が固化した宝石。
珥,みみだま。耳飾りの玉。
珥,刀のつば。
珥,さしはさむ。
珮,おびだま。帯につける飾りの玉。
珞,瓔珞（ヨウラク）。玉が連なった首飾り。
璢,瑠璃。紺色の玉の名。七宝の一つ。
琅,美しい石。
琅,琅琅（ロウロウ）。金属や玉の触れ合う音。
瑯,美しい石。
瑯,琅琅（ロウロウ）。金属や玉の触れ合う音。
琥,虎の形をした玉器。
琥,虎を刻んだ玉で作った割符。
琥,琥珀。黄色で光沢のある樹脂が固化した宝石。
珸,山の名。琨珸（コンゴ）。また、その山から産出される石の名。
琲,玉をたくさん連ねた飾り。
琲,◦国 珈琲。coffeeの音訳。
琺,琺瑯（ホウロウ）。器物の表面をおおうガラス質のうわぐすり。
瑕,きず。あやまち。欠点。
瑕,なんぞ。いずくんぞ。どうして。
琿,玉の名。
瑟,おおごと。琴に似た大きな弦楽器。
瑟,厳かなさま。
瑙,瑪瑙（メノウ）。宝石の名。玉髄の一種。
瑁,◦一 諸侯に授けた「圭」にかぶせる天子が持つしるしとなる玉。
瑁,◦二 玳瑁（タイマイ）。ウミガメ科タイマイ属の爬虫類。
瑜,瑾瑜（キンユ）。美しい玉の名。
瑩,玉に似た石。
瑩,あきらか。あざやか。はっきりとした。
瑩,みがく。
瑰,玉の名。
瑰,すぐれる。おおきい。
瑰,めずらしい。
瑣,玉の触れ合う音。
瑣,ちいさい。こまかい。
瑣,くさり。
瑪,瑪瑙（メノウ）。宝石の名。玉髄の一種。
瑶,たま。美しいたま。
瑶,うつくしい。玉のように美しい。
瑶,中国南部から東南アジア北部にかけて住む少数民族の名。
瑾,瑾瑜（キンユ）。美しい玉の名。
璋,圭を縦半分に割った形の玉器。
璋,ひしゃく。祭事に用いる玉製のひしゃく。
璋,あきらか。
璞,あらたま。みがいていない状態の玉。
璞,自然なまま。飾り気のない。
璧,たま。平たい環状の玉。
璧,立派なもの。美しいもの。
瓊,たま。美しい玉。
瓊,玉のように美しいさま。
瓏,玉や金属の触れ合う音。
瓏,明らかなさま。
瓔,玉に似た石。
瓔,瓔珞（ヨウラク）。玉が連なった首飾り。
珱,玉に似た石。
珱,瓔珞（ヨウラク）。玉が連なった首飾り。
瓠,◦一 ひさご。ふくべ・ひょうたんなどの総称。ウリ科の一年草。
瓠,◦一 ひょうたんの中身を除いて、乾燥させた容器。
瓠,◦二 「カク落」は中が広くうつろなさま。
瓣,なかご。うりの中身。
瓣,はなびら。
瓣,◦国 液体や気体の流れを調節するもの。
瓧,デカグラム。重さの単位。十グラム。
瓩,キログラム。重さの単位。千グラム。
瓮,もたい。口の大きなかめ。
瓲,トン。重さの単位。千キログラム。
瓰,デシグラム。重さの単位。十分の一グラム。
瓱,ミリグラム。重さの単位。千分の一グラム。
瓸,ヘクトグラム。重さの単位。百グラム。
瓷,いしやき。堅く焼かれたきめの細かい焼き物。
瓷,かめ。徳利。
甄,すえ。すえもの。陶器。
甄,つくる。陶器をつくる。
甄,見分ける。区別する。
甃,井戸の内壁に張る瓦。
甃,しきがわら。地面に敷き詰める瓦。
甃,いしだたみ。
甅,センチグラム。重さの単位。百分の一グラム。
甌,ほとぎ。小さなかめ。
甌,はち。わん。
甎,かわら。しきがわら。
甍,いらか。むながわら。屋根の棟に用いる瓦。
甕,かめ。みか。もたい。酒や水を入れる容器。
甓,かわら。しきがわら。
甞,なめる。味をみる。あじわう。
甞,こころみる。ためす。
甞,かつて。以前。
甞,その年に収穫した穀物を神に供える祭り。
甦,よみがえる。生き返る。
甬,鐘の柄
甬,みち。
甬,ます。容量をはかる容器。
甼,あぜみち。
甼,さかい。区切り。
甼,◦国 まち。市街地。
甼,◦国 ちょう。地方自治体の一つ。
甼,◦国 面積の単位。六十間。約一〇九メートル。
甼,◦国 距離の単位。十反。約九九・二アール。
畄,とまる。とどまる。動かない。後に残る。
畄,とめる。とどめる。後に残す。
畄,ルーブル。ロシアなどの通貨単位。
畍,さかい。くぎり。かぎり。辺り。
畍,一定の範囲。
畍,さかいする。くぎりをつける。
畊,たがやす。田畑をたがやす。
畊,働いて糧を得る。
畉,たがやす。田畑をたがやす。
畛,あぜ。耕地のさかい。
畛,さかい。境界。
畆,うね。畑で土を少し盛り上げた部分。
畆,せ。田畑の面積の単位。周代は約一・八アール。
畆,◦国 せ。面積の単位。約一アール。
畚,ふご。もっこ。縄や藁などで編んだ土や砂を運ぶもの。
畩,けさ。僧の着る衣。
畩,畩ヶ山（けさがやま）。地名に用いられる字。鹿児島県の地名。
畤,まつりのにわ。天地の神または、五帝を祭る場所。
畧,おさめる。いとなむ。
畧,はかる。はかりごと。
畧,ほぼ。あらまし。
畧,はぶく。一部をへらす。
畧,おかす。かすめる。奪い取る。
畫,◦一 かぎる。区切る。
畫,◦一 さかい。区切り。
畫,◦一 漢字の線や点。
畫,◦一 はかる。はかりごと。
畫,◦二 え。えがく。かく。絵をかく。
畭,◦一 あらた。新しい田。
畭,◦二 焼き畑。
畭,◦二 福建省や浙江省などに住む民族の名。
畸,井田で区切られた残りの田。
畸,あまり。のこり。
畸,めずらしい。変わった。
畸,身体に障害のある。
當,あたる。あてる。あてはまる。つりあう。ぶつかる。わりあてる。になう。
當,まさに。まさに～べし。当然～すべき。
當,この。その。
當,◦国 あたり。的中。目あて。
疆,さかい。かぎり。土地のさかい。
疆,かぎる。くぎる。
疇,うね。畑の畝。
疇,はたけ。麻畑。
疇,たぐい。同類。仲間。ともがら。
疇,さきに。むかし。
疇,ひとしい。
疇,だれ。たれ。
畴,うね。畑の畝。
畴,はたけ。麻畑。
畴,たぐい。同類。仲間。ともがら。
畴,さきに。むかし。
畴,ひとしい。
畴,だれ。たれ。
疊,たたむ。折りたたむ。
疊,かさねる。かさなる。積みかさねる。
疊,◦国 たたみ。イグサなどでつくった敷物。
疊,◦国 じょう。たたみを数える助数詞。
疉,たたむ。折りたたむ。
疉,かさねる。かさなる。積みかさねる。
疉,◦国 たたみ。イグサなどでつくった敷物。
疉,◦国 じょう。たたみを数える助数詞。
疂,たたむ。折りたたむ。
疂,かさねる。かさなる。積みかさねる。
疂,◦国 たたみ。イグサなどでつくった敷物。
疂,◦国 じょう。たたみを数える助数詞。
疔,かさ。できもの。悪性のできもの。
疚,やむ。病気になる。
疚,やましい。気がとがめる。後ろめたい。
疝,せんき。下腹部や腰がいたむ病気。
疥,ひぜん。皮膚がかゆくなる皮膚病の一種。
疥,おこり。マラリア。
疣,いぼ。皮膚の表面にできる硬い突起物。
痂,かさぶた。傷が治るときにできる表面を覆う皮。
疳,小児の胃腸病。
疳,下疳（ゲカン）。性病の一種。
疳,◦国 かん。小児の神経症。ひきつけなどを起こす病気。
痃,痃癖（ケンペキ）。筋肉がひきつる病気。
痃,横痃（オウゲン）。よこね。足の付け根のリンパ節がはれたもの。
疵,きず。あやまち。欠点。
疵,やまい。病気。
疵,そしる。悪く言う。
疽,かさ。はれもの。悪性のはれもの。
疸,黄疸（オウダン）。肝臓や胆嚢の疾患に伴い、身体が黄色く染まる症状。
疼,うずく。いたむ。
疱,もがさ。ほうそう。天然痘。
痍,きず。切り傷。
痍,きずつく。きずつける。
痊,いえる。いやす。病気が治る。
痒,かゆい。
痒,やむ。やまい。
痒,かさ。できもの。
痙,ひきつる。筋肉がひきつる。
痣,ほくろ。
痣,あざ。
痞,つかえ。腹に塊のようなものがつかえる病気。
痞,胸がつまる。胸がふさがる。
痾,やまい。長引いて治りにくい病気。
痿,なえる。しおれる。弱くなる。
痿,しびれる。しびれ。
痼,ながわずらい。長い間治らない病気。
瘁,やむ。
瘁,つかれる。やつれる。
痰,気管から排出される粘液性の分泌物。
痺,しびれる。しびれ。
痲,しびれる。しびれ。
痳,りんびょう。性病の一つ。
瘋,頭痛。
瘋,精神病。
瘍,かさ。できもの。
瘉,いえる。いやす。病気が治る。
瘟,えやみ。急性感染症。
瘧,おこり。感染症の一種。マラリア。
瘠,やせる。やせ細る。やせた土地。
瘡,かさ。できもの。
瘡,きず。切りきず。
瘢,きず。きずあと。
瘢,しみ。そばかす。
瘤,こぶ。体にできる塊状のもの。
瘤,◦国 邪魔なもの。
瘴,南方の山川の毒気。また、その毒気によりおこる熱病。
瘰,瘰癧（ルイレキ）。結核性頸部リンパ節炎。
瘻,◦一 首のあたりにできるはれもの。
瘻,◦二 背骨の曲がる病気。
癇,ひきつけ。発作的に全身が痙攣する病気。
癇,◦国 怒りやすく激しい性質。
癈,不治の病。
癈,からだが不自由になる。
癈,すたれる。
癆,やつれる。おとろえる。
癆,癆痎（ロウガイ）。肺結核。
癜,なまず。皮膚にまだらができる皮膚病の一種。
癘,えやみ。流行病。
癘,ハンセン病。
癡,おろか。頭のはたらきがにぶい。
癡,物事に夢中になる。
癡,仏教に関する語で、三毒（貪・瞋・痴）の一つ。
癢,かゆい。
癢,はがゆい。
癨,癨乱（カクラン）。暑気あたり。
癩,ハンセン病。癩菌によって引き起こされる感染症の一種。
癪,さしこみ。胸や腹のあたりが急に痛む病気。
癪,かんしゃく。腹立ち。すぐかっとなる性質。
癧,瘰癧（ルイレキ）。結核性頸部リンパ節炎。
癬,たむし。ひぜん。かゆみを伴う皮膚病の一種。
癰,はれもの。悪性のはれもの。
癲,くるう。気がふれる。
癲,癲癇（テンカン）。痙攣を起こして意識を失う病気。
癶,両足が左右に開く。
癸,みずのと。十干の第十番目。五行では水に当てられる。
癸,はかる。
發,はなつ。矢をはなつ。弾丸をうち出す。
發,たつ。ゆく。出かける。
發,のびる。のばす。成長する。
發,ひらく。あける。
發,あばく。あきらかにする。
發,おこる。おこす。始まる。生じる。
發,遣わす。
皀,穀物の香り。
皀,つぶ。一粒。
皃,かたち。かお。すがた。外見。
皃,様子。ありさま。
皃,かたどる。形を写し取る。
皃,とおい。はるか遠く。
皈,かえる。かえす。もとへもどる。
皈,とつぐ。嫁に行く。
皈,おちつく。おさまる。
皈,死ぬ。
皈,おくる。ものをあたえる。
皋,さわ。
皋,きし。水際。
皋,たかい。
皋,さつき。陰暦五月のこと。
皎,しろい。白く光る。
皎,きよい。けがれのない。
皖,あきらか。
皖,春秋時代の国の名。現在の安徽省にあった国。
皖,安徽省の別称。
皓,しろい。
皓,ひかる。
皓,あかるい。あきらか。
皓,きよい。きよらか。
皙,しろい。肌の色が白い。
皚,しろい。雪などの白いさま。
皰,にきび。顔にできる発疹。
皰,もがさ。かさ。水疱。
皴,ひび。あかぎれ。皮膚にできる裂け目。
皴,しわ。
皴,皴法。山や岩を立体的に表す絵画の技法の一つ。
皸,ひび。あかぎれ。皮膚にできる裂け目。
皹,ひび。あかぎれ。皮膚にできる裂け目。
皺,しわ。
皺,しわむ。しわが寄る。
盂,はち。食べ物などを盛る器。
盍,おおう。ふたをする。
盍,なんぞ。どうして。反語をあらわす助字。
盍,なんぞ～ざる。どうして～しないのか。
盖,ふた。おおい。
盖,かさ。雨や日差しを防ぐもの。
盖,おおう。おおいかぶせる。
盖,けだし。思うに。たぶん。
盖,とま。むしろ。
盒,ふたもの。ふたのついた容器。
盒,さら。
盞,さかずき。小さなさかずき。
盡,つきる。なくなる。おわる。
盡,つくす。きわめる。なくす。
盡,ことごとく。全部。すべて。
盥,あらう。すすぐ。手を洗う。
盥,たらい。手を洗うための容器。
盧,めしびつ。飯を入れる容器。
盧,すびつ。火入れ。
盧,酒を売る場所。
盧,くろい。黒色。
盪,あらう。あらいきよめる。
盪,うごく。うごかす。揺り動かす。
盪,ほしいままにする。
蘯,うごく。うごかす。揺れ動く。揺り動かす。
蘯,あらう。洗い流す。はらう。のぞく。
蘯,ほしいまま。勝手気まま。
蘯,のびやか。広々とした。
蘯,とろける。しまりがない。だらしがない。
盻,にらむ。にらみつける。
盻,かえりみる。
眈,にらむ。見下ろす。
眇,すがめ。片方の目が小さい。
眇,すがめる。目を細くして見る。
眇,ちいさい。こまかい。
眇,はるか。かすか。
眄,みる。流し目で見る。
眄,かえりみる。
眩,くらむ。くるめく。目がくらむ。
眩,まどう。まよう。
眩,めまい。
眩,まばゆい。まぶしい。
眤,ちかづく。したしむ。
眞,まこと。本当。
眞,正しい。
眞,自然のまま。そのままの。本来の。
眞,書体の一つ。楷書。
眥,まなじり。目じり。
眥,にらむ。
眦,まなじり。目じり。
眦,にらむ。
眛,くらい。はっきり見えない。
眷,かえりみる。振り返って見る。気にかける。
眷,なさけ。
眷,ひかれる。思い慕う。
眷,身内。一族。
眸,ひとみ。黒目。眼球の黒い部分。
眸,よく見る。
睇,ぬすみみる。横目で見る。
睇,よこめ。ながしめ。
睚,まなじり。目のふち。
睚,にらむ。
睨,にらむ。にらみつける。斜めに見る。
睨,かたむく。日がかたむく。
睫,まつげ。目のふちに生える毛。
睛,ひとみ。黒目。
睥,にらむ。横目で見る。
睿,さとい。かしこい。あきらか。
睿,天子に関わることを敬っていう語。
睾,さわ。湿地。
睾,きんたま。
睹,みる。よく見る。
瞎,目が見えない。
瞎,片目。片方の目が見えない。
瞋,いかる。おこる。
瞋,いからす。目を見開く。
瞑,目を閉じる。
瞑,くらい。はっきり見えない。
瞑,目がくらむ。
瞠,みはる。目を見張る。
瞞,だます。あざむく。
瞞,はっきり見えない。
瞰,みる。見下ろす。
瞰,のぞむ。遠くを見渡す。
瞶,みる。よく見る。
瞶,目が見えない。
瞹,かくれる。見えなくなる。
瞿,みる。周囲を見回す。驚いて見る。
瞿,おそれる。おどろく。
瞼,まぶた。目をおおう開いたり閉じたりできる皮膚。
瞽,めしい。目が見えない。道理にくらい。
瞽,古代の楽官。楽官に盲人が多かったことから。
瞻,みる。あおぎ見る。ながめる。
矇,めしい。目が見えない。
矇,くらい。おろか。道理にくらい。
矍,驚き周囲を見回す。
矍,おどろく。あわてる。
矗,なおい。まっすぐに立つ。
矗,そびえる。そびえ立つ。
矗,草木が盛んにしげる。
矚,みる。注視する。
矜,◦一 ほこの柄。
矜,◦二 あわれむ。かわいそうに思う。
矜,◦二 ほこる。得意になる。
矜,◦二 つつしむ。うやまう。
矜,◦二 おしむ。
矜,◦三 やもお。妻のいない男性。
矣,句の終わりに用いて断定・推定・詠嘆などを表す助字。
矮,ひくい。みじかい。背が低い。
矼,いしばし。飛び石。
矼,かたい。まじめな。しっかりとした。
砌,みぎり。石段。
砌,◦国 みぎり。軒下の石畳。
砌,◦国 みぎり。とき。おり。時節。
砒,砒素。元素の名。窒素族元素の一つ。
砒,砒石。砒素を含む鉱物。
礦,あらがね。採掘したままで精錬していない鉱石。
砠,いしやま。つちやま。
礪,あらと。といし。きめの粗い砥石。
礪,みがく。とぐ。刃をとぐ。
礪,はげむ。つとめる。
硅,やぶる。
硅,硅素（ケイソ）。元素の名。シリコン。
碎,くだく。くだける。粉々になる。
碎,こまかい。
碎,くどい。くだくだしい。
碎,◦国 くだける。打ち解ける。
硴,かき。二枚貝の一種。
硴,硴江（かきのえ）。硴場（かきば）。地名に用いられる字。
碆,いぐるみに石をつける。また、その石のこと。
硼,硼素（ホウソ）。元素の名。
碚,つぼみ。
碚,地名に用いられる字。
碌,碌碌（ロクロク）。石が多くあるさま。平凡なさま。
碣,高くそびえる岩石。
碣,いしぶみ。文章を刻んだ丸い石碑。
碵,◦国 せき。ひろ。人名に用いられる字。
碪,きぬた。きぬいた。布を木槌で打つときに用いる石の台。
碯,碼碯（メノウ）。宝石の名。玉髄の一種。
磑,うす。いしうす。ひきうす。
磑,磑磑（ガイガイ）。高いさま。白いさま。かたいさま。
磆,磆石（カッセキ）。鉱物の名。薬に用いられる。
磋,みがく。玉や骨などをみがく。
磋,つとめる。つとめはげむ。
磔,さく。ひきさく。罪人を引き裂いて殺す刑罰。
磔,死体をはりつけてさらす。
磔,◦国 はりつけ。罪人を柱に縛りつけて槍で突き殺す刑罰。
碾,うす。ひきうす。いしうす。
碾,ひく。うすでひく。
碼,碼碯（メノウ）。宝石の名。玉髄の一種。
碼,ヤード。長さの単位。
磅,石が落ちる音の形容。
磅,ポンド。重さの単位。イギリスの通貨の単位。
磊,石が積み重なっているさま。
磊,大きいさま。心が広くおおらかなさま。
磬,古代の打楽器の一つ。への字形の玉や石をつるして打ち鳴らす。
磬,読経のときに打ち鳴らす鉢形をした仏具。
磬,くびる。首をしめる。
磬,つきる。なくなる。うつろなさま。
磧,かわら。川沿いの石の多いところ。
磧,さばく。砂原。
磚,かわら。しきがわら。れんが。
磽,石が多くやせた土地。
磴,いしだん。いしざか。石の坂道。
磴,いしばし。石のかけ橋。
礇,玉に似た石。
礒,岩石の険しいさま。
礒,◦国 いそ。石の多い波打ち際。
礑,底。
礑,◦国 はたと。はったと。物がぶつかる音。にらみつけるさま。
礙,さまたげる。さえぎる。邪魔をする。
礙,さまたげ。
礬,硫酸を含んだ鉱物。明礬（ミョウバン）。
礫,こいし。つぶて。
祀,まつる。まつり。神などを祭る。
祀,とし。一年。
祠,まつる。まつり。神などを祭る。
祠,ほこら。やしろ。神を祭る場所。
祠,みたまや。先祖の霊をまつる場所。
祗,つつしむ。うやまう。
祗,ただ。まさに。ひたすら。
祟,たたる。たたり。神仏などによる災厄。
祚,さいわい。しあわせ。幸福。
祚,くらい。天子の位。
祕,ひめる。ひそか。かくす。人に知られないようにする。
祕,人知では計り知れない。
祓,はらう。災いをのぞく。けがれを清める。
祓,はらえ。はらい。神に祈って悪いものを除く。
祺,さいわい。めでたい。
祺,やすらか。おだやか。
祿,さいわい。神から与えられるめぐみ。
祿,ふち。俸給。役人の給料。
禊,みそぎ。水を浴びてからだを清めること。
禊,はらう。みそぎを行う。
禝,伝説上の人物の名。五穀の神。
禧,さいわい。よろこび。めでたいこと。
齋,ものいみ。神事のために飲食や行動をつつしみ心身を清めること。
齋,つつしむ。
齋,へや。ものいみする部屋。本を読む部屋。
齋,とき。斎食。精進料理。
齋,◦国 いつき。いつく。心身を清めて神に仕える。
禪,天子が天を祭る祭り。
禪,ゆずる。天子の位をゆずる。
禪,禅那。仏教に関する語で、心を落ち着かせて集中すること。
禪,禅宗のこと。
禮,作法。儀式。
禮,社会生活上の守るべききまり。
禮,うやまう。
禮,◦国 おじぎ。あいさつ。
禮,◦国 感謝の意を表す。
禳,はらう。神に祈って災いを除く。
禹,夏王朝を開いたとされる伝説上の王の名。
禺,おながざる。頭が大きく尾の長い猿。
秉,とる。手に持つ。まもる。
秉,いねたば。稲の束。
秉,権力。
秉,容積の単位。十六斛。
秕,しいな。殻ばかりで実がないもみ。
秕,中身のないもの。
秧,なえ。稲の苗。植物の苗。
秧,うえる。植物をうえる。
秧,魚の子。動物の子。
秬,くろきび。黒いきび。
秡,稲がいたむ。
秣,まぐさ。飼い葉。
秣,まぐさかう。牛馬にまぐさを与えて養う。
稈,わら。稲や麦などの穀類の茎。
稍,やや。すこし。
稍,やや。ようやく。しだいに。
稍,ちいさい。すくない。
稍,ふち。禄米。
稘,ひとまわり。一か月。一年。
稘,わら。稲などの茎。
稙,わせ。成熟の早い穀物。
稠,おおい。しげる。びっしりと集まる。
稠,こい。濃厚。
稟,◦一 こめぐら。
稟,◦二 ふち。給与として与えられる米。
稟,◦二 うける。命令を受ける。
稟,◦二 生まれつき。天から与えられた性質。
稟,◦二 もうす。申し上げる。
禀,◦一 こめぐら。
禀,◦二 ふち。給与として与えられる米。
禀,◦二 うける。命令を受ける。
禀,◦二 生まれつき。天から与えられた性質。
禀,◦二 もうす。申し上げる。
稱,◦一 はかる。重さをはかる。
稱,◦一 となえる。のべる。よぶ。
稱,◦一 となえ。呼び名。
稱,◦一 あげる。持ちあげる。
稱,◦一 たたえる。ほめる。
稱,◦二 はかり。重さをはかる道具。
稱,◦二 かなう。当てはまる。適する。
稻,いね。イネ科の植物。五穀の一つ。
稾,わら。いねなどの茎。
稾,したがき。詩文などのしたがき。
稷,きび。うるちきび。
稷,五穀の神。
稷,たおさ。農業をつかさどる役人。
穃,穃原（ようばる）。地名に用いられる字。
穗,ほ。穀物の茎の先の花実をつけるところ。
穗,ほのような形のもの。
穉,おくて。遅く実る穀物。
穉,わかい。いとけない。おさない。
穉,おさない子。
穡,とり入れ。穀物をとり入れる。
穡,穀物。
穡,農業。
穡,おしむ。物惜しみする。
穢,あれる。雑草が生い茂る。
穢,けがれる。よごれる。けがす。
穢,けがれ。よごれ。
穢,きたない。きたならしい。
穩,おだやか。やすらか。落ち着いたさま。
龝,あき。四季の一つ。
龝,とき。大事な時期。
龝,とし。年月。
龝,みのり。穀物がみのる。
穰,みのる。ゆたか。穀物がよく実る。
穰,わら。稲などの茎。
穰,さかん。盛んなさま。
穹,弓形。ドーム形。
穹,そら。おおぞら。
穹,たかい。
穹,おおきい。
穹,ふかい。
穹,究める。
穽,おとしあな。獣を捕らえるために掘った穴。
窈,おくぶかい。
窈,かすか。くらい。
窗,まど。
窗,まどのある部屋。
窕,ふかい。奥深い。
窕,あでやか。うつくしい。
窕,しとやか。おくゆかしい。
窘,せまる。さしせまる。
窘,くるしむ。こまる。行き詰まる。
窘,◦国 たしなめる。注意する。
窖,あなぐら。あな。物を蓄えるために掘った穴。
窖,深い。
窩,あな。むろ。あなぐら。いわや。
窩,かくす。物をかくす。
竈,かまど。へっつい。
竈,かまどの神。
窰,かま。かまど。陶器などを焼く穴。
窰,やきもの。陶器。
窶,◦一 まずしい。
窶,◦二 甌窶（オウロウ）。狭い土地。
窶,◦国 やつれる。痩せ衰える
窶,◦国 やつす。みすぼらしくする。
竅,あな。
竅,うがつ。あなをあける
竄,かくれる。逃げ隠れる。
竄,のがれる。にげる。
竄,はなす。追放する。
竄,あらためる。文章を書き換える。
窿,穹窿（きゅうりゅう）。弓なりになったさま。
邃,ふかい。おくぶかい。
邃,とおい。はるか。
竇,あな。あなぐら。
竇,くぐり戸。壁などに設ける低い出入口。
竇,みぞ。水道。
竊,ぬすむ。こっそりとぬすむ。
竊,ひそかに。人知れず。
竍,デカリットル。容積の単位。十リットル。
竏,キロリットル。容積の単位。千リットル。
竕,デシリットル。容積の単位。十分の一リットル。
竓,ミリリットル。容積の単位。千分の一リットル。
站,たつ。たたずむ。じっと立つ。
站,うまつぎ。宿場。えき。
竚,たたずむ。立ち止まる。
竚,まつ。
竝,ならぶ。ならべる。
竝,ならびに。ともに。
竝,◦国 なみ。普通。
竡,ヘクトリットル。容積の単位。百リットル。
竢,まつ。まちうける。じっと待つ。
竦,つまだつ。つま先で立つ。
竦,おそれる。すくむ。
竦,つつしむ。かしこまる。
竦,そびえる。そびやかす。
竦,勧める。
竭,つきる。なくなる。
竭,つくす。なくす。力をつくす。
竭,かれる。水がなくなる。
竭,ことごとく。全部。すべて。
竰,センチリットル。容積の単位。百分の一リットル。
笂,うつぼ。矢を入れるための筒。
笂,笂井（うつぼい）。地名に用いられる字。群馬県前橋市の地名。
笏,しゃく。礼装した際に持つ書きつけるための板。
笊,ざる。竹で編んだかご。
笊,す。鳥の巣穴。
笆,いばらだけ。
笆,たけがき。竹で編んだ垣。
笳,あしぶえ。あしの葉で作った笛。
笘,むち。竹のむち。
笘,ふだ。子供が文字を習うのに用いる板。
笙,ふえ。しょうのふえ。大小異なる十数本の竹管を円形に組んだ管楽器の一つ。
笞,むち。しもと。竹のむち。
笞,むちうつ。むちで打つ。
笞,むちで打つ刑罰。五刑の一つ。
笵,のり。手本。模範。
笵,かた。いがた。わく。
笨,竹の内側。
笨,あらい。粗末な。
笨,おろか。にぶい。
笶,や。先端に重り反対に羽のついた弓で射る武器。
筐,かご。はこ。かたみ。竹で編んだかご。
筐,ねだい。寝台。
筺,かご。はこ。かたみ。竹で編んだかご。
筺,ねだい。寝台。
笄,こうがい。かんざし。
笄,こうがいを髪に挿す。
笄,女子の成年。昔、女子が成年に達するとこうがいを挿したことから。
筍,たけのこ。竹の若芽。
筍,楽器をつるす横木。
笋,たけのこ。竹の若芽。
笋,楽器をつるす横木。
筌,うえ。水中に沈めて魚を捕る竹を筒状に編んだ道具。
筅,ささら。鍋などの汚れをとる竹で作られた道具。
筵,むしろ。竹を編んで作ったむしろ。
筵,敷物。
筵,せき。場所。
筥,はこ。竹で編んだ丸いかご。
筥,稲の束をはかる単位。四秉。
筴,◦一 はし。物をはさみとる道具。
筴,◦一 はさむ。はさみとる。
筴,◦二 めどぎ。筮竹。占いに用いる棒。
筴,◦二 はかりごと。たくらみ。
筧,かけい。かけひ。かけ渡して水を流す竹の筒。
筰,たけなわ。竹を編んで作ったなわ。
筱,しの。しの竹。
筬,おさ。機織の道具の一つ。縦糸を整えて横糸の目を詰めるのに用いる。
筮,めどぎ。筮竹。占いに用いる棒。
筮,うらなう。うらない。
箝,はさむ。
箝,くびかせ。自由を奪う刑具。
箝,つぐむ。とざす。
箘,しのだけ。やだけ。
箘,たけのこ。
箟,しのだけ。やだけ。
箟,たけのこ。
箍,たが。桶などをしめるのに用いる裂いた竹をよって輪にしたもの。
箜,箜篌（クゴ）。百済琴。ハープに似た楽器。
箚,さす。針などを刺す。
箚,もうしぶみ。目上の者に差し出す文書。
箚,しるす。かきとめる。
箋,ふだ。注釈・覚え書きを記しすためのふだ。
箋,注釈。
箋,かきもの。手紙。
箒,ほうき。ごみなどをはらう道具。
箒,はく。はらう。ほうきではく。
箏,こと。箏の琴。弦楽器の一つ。
筝,こと。箏の琴。弦楽器の一つ。
箙,えびら。矢を入れて身に付ける道具。
篋,はこ。竹で作られた方形の箱。
篁,たかむら。たけやぶ。竹が盛んに生えているところ。
篁,たけ。
篌,箜篌（クゴ）。百済琴。ハープに似た楽器。
篏,はめる。はまる。はめこむ。
篏,あな。ほらあな。
箴,はり。縫い針。竹針。
