漢字,意味
燕,◦一 やすんじる。やすらぐ。くつろぐ。
燕,◦二 国の名。武王が召公奭を封じたとされる国。戦国七雄の一つ。
猿,さる。ましら。
縁,ふち。へり。衣服のふち。
縁,えにし。ゆかり。
縁,よる。たよる。もとづく。
縁,仏教で結果が生じる間接的な原因。
縁,◦国 縁側。
艶,なまめかしい。あでやか。つややか。色っぽい。
艶,つや。いろつや。
艶,うらやむ。
艶,◦国 男女間の恋愛に関する事柄。
苑,囲いをして鳥獣を飼う草木の生えたところ。
苑,その。庭園。
苑,物事が集まるところ。特に学問や芸術についていう。
苑,ふさがる。気がふさがる。
薗,その。にわ。果樹などを植えた畑。
薗,みささぎ。
遠,◦一 とおい。距離・時間が離れている。
遠,◦一 うとい。かかわりが薄い。
遠,◦一 奥深い。
遠,◦一 ひろい。
遠,◦一 とおいところ。
遠,◦二 とおざける。離れさせる。うとんじる。
鉛,なまり。金属元素の一つ。
鉛,おしろい。なまりからとった白い顔料。
鴛,おしどり。カモ科の鳥。おしどりの雌。雌雄がいつも一緒にいることから夫婦仲がよいことに例えられる。
塩,しお。
塩,元素の一つ。
塩,しおづけにする。
於,ああ。嘆息・感嘆の声。
於,おいて。おける。時間や対象などを表す。
汚,くぼんだ場所にたまった水。
汚,みずたまり。
汚,よごす。けがす。
汚,よごれる。けがれる。
汚,よごれ。けがれ。
汚,きたない。けがらわしい。不潔な。ただしくない。
甥,おい。姉妹の生んだ子。
甥,むこ。娘の夫。
甥,おじの子供・おばの子供・妻の兄弟・姉妹の夫など。
甥,◦国 兄弟姉妹の生んだ男の子。
凹,くぼむ。へこむ。へこます。
凹,くぼみ。へこみ。
央,なかば。真ん中。途中。
央,つきる。やむ。
奥,◦一 家の南西のすみ。
奥,◦一 おく。おく深いところ。奥深く大事な事柄。
奥,◦二 くま。折れ曲がて入り組んだところ。
奥,◦国 おく。貴人の妻。
奥,◦国 陸奥の国のこと。
往,ゆく。いく。ある場所に向かって行く。
往,さる。死ぬ。死者。
往,さきに。以前に。
往,いにしえ。過去。
往,のち。あと。
往,おくる。とどける。
応,◦一 こたえる。おうじる。返事する。承知する。
応,◦一 したがう。
応,◦二 まさに～べし。「当然～すべきである」の意。「きっと～だろう」の意で推量を表す。
押,おす。おさえる。おさえつける。
押,判をおす。
押,詩の韻をふむ。
押,署名。
旺,さかん。勢いのよいさま。
旺,美しく輝くさま。
横,よこ。左右。左右の方向。東西の方向。
横,よこたわる。よこになる。
横,よこしま。正しくない。
横,ほしいまま。思いのまま。
欧,◦一 はく。もどす。
欧,◦一 うつ。たたく。
欧,◦二 うたう。
欧,◦二 ヨーロッパ。大州の名。欧羅巴の略。
殴,なぐる。うつ。たたく。
王,◦一 きみ。君主。
王,◦一 戦国時代の諸侯の称。
王,◦一 徳によって天下を治めること。対して武をもって治めることは「覇」。
王,◦一 尊称。尊敬・親愛の意を表す。
王,◦一 第一人者。ある分野で最も実力のあるもの。
王,◦二 王となる。
王,◦二 さかん。
王,◦国 天皇の子。五世または、三世以内の皇族の男子。
翁,鳥の首の羽毛。
翁,ちち。父親。
翁,おきな。男性の老人。
翁,男性の老人の尊称。
襖,わたいれ。うわぎ。
襖,◦国 あお。両脇が開いた武官が出仕するときに着る衣服。
襖,◦国 ふすま。からかみ。
鴬,こうらいうぐいす。コウライウグイス科の鳥。
鴬,美しいさま。
鴬,◦国 うぐいす。ウグイス科の鳥。綺麗な声で鳴く小さな鳥。
鴎,かもめ。カモメ科の鳥。体は白く背（羽）は灰色。
黄,き。きいろ。
黄,きばむ。きいろくなる。
黄,こども。三歳以下のこども。
岡,山の背。
岡,おか。小さい山。
沖,水がわき動く。
沖,のぼる。高く上がる。
沖,むなしい。
沖,おさない。いとけない。
沖,おだやか。
沖,◦国 おき。岸から遠く離れた海域。
荻,おぎ。イネ科の多年草。
億,やすんじる。
億,おしはかる。
億,数の名。一万の一万倍。数が非常に多いこと。
屋,や。いえ。住まい。住居。
屋,やね。
屋,◦国 や。職業や商店などの名に添える語。
憶,おもう。かんがえる。おもいやる。おもいだす。
憶,おぼえる。忘れないでいる。
臆,むね。こころ。胸の内。
臆,おしはかる。推量する。
臆,◦国 おくする。おじける。
桶,おけ。木製の円筒形の容器。
桶,容量をはかる方形の容器。
牡,おす。鳥獣のおす。
乙,きのと。十干の第二番目。五行では木に当てられる。
乙,順位の第二。
乙,◦国 邦楽で甲よりも一段低い音。
乙,◦国 おつ。普通とは違った。気のきいた。
乙,◦国 おと。年が若い。下の。
俺,おれ。われ。男の一人称。
卸,おろす。積み荷をおろす。
卸,◦国 おろす。おろし。問屋が小売店に売り渡すこと。
恩,めぐみ。めぐむ
恩,いつくしむ。
温,あたたか。あたたかい。
温,あたたまる。あたためる。ぬくまる。ぬくめる。
温,たずねる。ならう。復習する。
温,おだやか。やさしい。
温,つつむ。
穏,おだやか。やすらか。落ち着いたさま。
音,おと。ね。こえ。
音,ふし。ねいろ。
音,うた。音楽。
音,たより。知らせ。
音,ことば。
音,◦国 漢字の音。
下,した。しも。位置・場所が低い。地位や身分が低い。順が後。
下,もと。末。あたり。そば。
下,くだる。さがる。おりる。おちる。下へ動く。へりくだる。
下,くだす。いいつける。命じる。実行する。
化,かわる。かえる。
化,教え導く。よい方向へ導く。
化,自然が万物を作り出す働き。
化,異なる物質が結びついて新しい物質になること。
化,ばける。姿かたちを別のものに変える。
仮,◦一 かり。いつわり。まにあわせ。一時的な。
仮,◦一 かす。かしあたえる。かりる。
仮,◦一 かりに。もし。
仮,◦二 いとま。ひま。
何,◦一 になう。
何,◦二 なに。なん。疑問をあらわす助字。
何,◦二 なんぞ。なぜ。どうして。反語をあらわす助字。
何,◦二 いずく。どこ。
何,◦二 いずれ。どちら。
伽,梵語の音訳字。
伽,◦国 とぎ。退屈をなぐさめること。看病すること。
価,あたい。値段。値打ち。評判。
佳,よい。美しい。すぐれた。
加,くわえる。くわわる。たす。ふやす。のせる。
加,仲間になる。
加,足し算。
加,国名。カナダ。加奈陀の略。
可,きく。ききいれる。許す。
可,よい。よろしい。
可,べし。「できる」の意で可能を表す。「してよい」の意で許容を表す。「すべき」の意。
可,ばかり。「～ほど」の意。
嘉,よい。すばらしい。すぐれている。うまい。
嘉,よみする。ほめる。
嘉,よろこぶ。たのしむ。
嘉,さいわい。めでたい。
夏,なつ。四季の一つ。
夏,大きい。盛んな。
夏,中国の自称。
夏,中国の王朝の名。中国最古の王朝。
嫁,とつぐ。女性がよその家にとつぐ。
嫁,罪や責任などを他になすりつける。
嫁,◦国 よめ。息子の妻。
家,いえ。や。住まい。人が住む建物。
家,かぞく。一族。いえがら。
家,いえする。居を構える。
家,学問などの流派。
家,あることを専門にする人。
寡,やもめ。夫を亡くした女性。配偶者のいない独り者。
寡,すくない。
寡,よわい。力や数が少ない。
寡,諸侯が自らを謙遜していう語。
寡,主君を謙遜していう語。
科,しな。種類。等級。
科,区分。
科,おきて。法。
科,官吏登用試験。また、その科目。
科,しぐさ。役者の動作。
科,◦国 生物分類学の単位。目の下、属の上に位置する。
科,◦国 とが。つみ。
暇,ひま。いとま。やすみ。
暇,ゆっくりする。
暇,◦国 ひま。職をやめる。
暇,◦国 いとま。わかれる。
果,くだもの。木の実。
果,はたす。とげる。おおせる。
果,はて。終わり。
果,思い切ってやる。
果,はたして。予想通りに。
果,むくい。行いに応じて生じるもの。
果,◦国 はてる。おわる。尽きる。死ぬ。
架,たな。物を載せるための台。
架,かける。かかる。かけわたす。
歌,うた。うたう。
歌,◦国 うた。和歌。
河,中国の川の名。黄河。
河,かわ。大きなかわ。
河,天の川。
火,ひ。ほ。ほのお。物が燃えて光・熱を発すること。
火,あかり。ともしび。
火,激しい感情。
火,やく。もえる。
火,いそぐ。さしせまる。
火,五行の一つ。
火,唐代の軍隊で十人一組の称。
火,◦国 火曜。七曜の一つ。
珂,白瑪瑙。宝石の一つ。
珂,くつわ貝。
珂,くつわ貝で作った飾り。
禍,わざわい。災難。まが。
禍,わざわいする。不幸を与える。
禾,いね（稲）。
禾,あわ（粟）。
禾,穀物の総称。
禾,◦国 のぎ。イネ科植物の先端にある毛。
稼,うえる。穀物をうえる。
稼,みのり。実ったいね。
